timestamp,views
2015082100,138
2015082200,128
2015082300,142
2015082400,181
2015082500,202
2015082600,213
2015082700,164
2015082800,221
2015082900,166
2015083000,171
2015083100,195
2015092800,484
2015092900,437
2015093000,407
2015100100,379
2015100200,429
2015100300,603
2015100400,541
2015100500,628
2015100600,508
2015100700,584
2015100800,819
2015100900,1001
2015101000,953
2015101100,815
2015101200,940
2015101300,708
2015101400,704
2015101500,708
2015101600,1072
2015101700,674
2015101800,1128
2015101900,685
2015102000,1006
2015102100,1755
2015102200,1302
2015102300,1614
2015102400,2410
2015102500,2067
2015102600,1492
2015102700,14620
2015102800,5923
2015102900,3948
2015103000,2534
2015103100,1412
2015110100,3908
2015110200,2751
2015110300,8316
2015110400,8748
2015110500,7975
2015110600,4335
2015110700,6212
2015110800,6438
2015110900,3902
2015111000,8306
2015111100,9963
2015111200,9254
2015111300,12068
