timestamp,views
2015070100,3480
2015070200,3347
2015070300,3382
2015070400,3557
2015070500,4042
2015070600,4127
2015070700,3547
2015070800,3610
2015070900,3667
2015071000,3886
2015071100,4126
2015071200,5225
2015071300,4741
2015071400,4081
2015071500,3907
2015071600,3908
2015071700,3575
2015071800,4008
2015071900,23068
2015072000,14579
2015072100,7566
2015072200,8549
2015072300,10571
2015072400,12830
2015072500,10379
2015072600,11675
2015072700,9444
2015072800,7821
2015072900,8802
2015073000,7392
2015073100,6432
2015080100,9039
2015080200,10395
2015080300,8147
2015080400,5947
2015080500,5280
2015080600,5771
2015080700,8141
2015080800,9969
2015080900,10650
2015081000,8963
2015081100,9513
2015081200,6909
2015081300,6484
2015081400,7454
2015081500,9483
2015081600,9764
2015081700,8703
2015081800,6805
2015081900,7367
2015082000,8317
2015082100,8015
2015082200,7414
2015082300,10221
2015082400,9034
2015082500,8889
2015082600,8409
2015082700,7976
2015082800,7754
2015082900,12471
2015083000,13719
2015083100,13588
2015090100,10331
2015090200,10486
2015090300,11790
2015090400,11402
2015090500,12452
2015090600,13002
2015090700,13654
2015090800,13931
2015090900,18452
2015091000,26617
2015091100,33024
2015091200,40142
2015091300,51418
2015091400,34452
2015091500,31526
2015091600,31979
2015091700,33182
2015091800,52848
