timestamp,views
2015070100,257
2015070200,209
2015070300,238
2015070400,234
2015070500,251
2015070600,471
2015070700,660
2015070800,669
2015070900,1046
2015071000,1460
2015071100,1401
2015071200,1083
2015071300,1229
2015071400,1197
2015071500,800
2015071600,660
2015071700,705
2015071800,780
2015071900,796
2015072000,909
2015072100,1903
2015072200,1582
2015072300,933
2015072400,940
2015072500,1065
2015072600,1033
2015072700,979
2015072800,844
2015072900,830
2015073000,831
2015073100,638
2015080100,635
2015080200,796
2015080300,577
2015080400,698
2015080500,614
2015080600,562
2015080700,698
2015080800,846
2015080900,650
2015081000,730
2015081100,651
2015081200,548
2015081300,536
2015081400,734
2015081500,907
2015081600,664
2015081700,594
2015081800,524
2015081900,555
2015082000,498
2015082100,575
2015082200,534
2015082300,549
2015082400,517
2015082500,468
2015082600,440
2015082700,482
2015082800,423
2015082900,363
2015083000,377
2015083100,345
2015090100,386
2015090200,388
2015090300,548
2015090400,529
2015090500,463
2015090600,468
2015090700,494
2015090800,480
2015090900,542
2015091000,446
2015091100,395
2015091200,488
2015091300,521
2015091400,493
2015091500,428
2015091600,387
2015091700,337
2015091800,443
2015091900,411
2015092000,364
2015092100,377
2015092200,552
2015092300,606
2015092400,421
2015092500,371
2015092600,332
2015092700,360
2015092800,335
2015092900,341
2015093000,330
2015100100,296
2015100200,310
2015100300,297
2015100400,371
2015100500,359
2015100600,330
2015100700,597
2015100800,484
2015100900,538
2015101000,500
2015101100,380
2015101200,380
2015101300,347
2015101400,322
2015101500,353
2015101600,302
2015101700,348
2015101800,370
2015101900,396
2015102000,325
2015102100,326
2015102200,411
2015102300,446
2015102400,430
2015102500,423
2015102600,424
2015102700,410
2015102800,476
2015102900,460
2015103000,603
2015103100,1830
2015110100,1853
2015110200,1593
2015110300,1191
2015110400,1038
2015110500,1139
2015110600,1090
2015110700,1227
2015110800,1243
2015110900,1016
2015111000,1320
2015111100,1718
2015111200,1549
2015111300,1945
