timestamp,views
2015080700,110
2015080800,93
2015080900,154
2015081000,98
2015081100,150
2015081200,130
2015081300,98
2015081400,139
2015081500,103
2015081600,127
2015081700,114
2015081800,117
2015081900,118
2015082000,1443
2015082100,4071
2015082200,3712
2015082300,4758
2015082400,2289
2015082500,1933
2015082600,1940
2015082700,2887
2015082800,2751
2015082900,1808
2015083000,1142
2015083100,1017
2015090100,645
2015090200,628
2015090300,638
2015090400,643
2015090500,532
2015090600,576
2015090700,594
2015090800,623
2015090900,537
2015091000,586
2015091100,596
2015091200,572
2015091300,536
2015091400,576
2015091500,559
2015091600,565
2015091700,552
2015091800,584
2015091900,581
2015092000,706
2015092100,679
2015092200,593
2015092300,618
2015092400,578
2015092500,735
2015092600,634
2015092700,804
2015092800,1027
2015092900,845
2015093000,759
2015100100,864
2015100200,986
2015100300,869
2015100400,994
2015100500,1622
2015100600,1383
2015100700,1280
2015100800,1104
2015100900,1060
2015101000,2120
2015101100,1529
2015101200,1950
2015101300,1701
2015101400,1533
2015101500,1761
2015101600,1898
2015101700,1725
2015101800,1797
2015101900,2062
2015102000,2073
2015102100,2378
2015102200,2618
2015102300,2810
2015102400,2733
2015102500,3231
2015102600,4037
2015102700,4004
2015102800,4486
2015102900,6036
2015103000,8565
