timestamp,views
2015120200,177
2015120300,158
2015120400,138
2015120500,143
2015120600,150
2015120700,158
2015120800,147
2015120900,133
2015121000,556
2015121100,483
2015121200,317
2015121300,316
2015121400,314
2015121500,237
2015121600,199
2015121700,148
2015121800,151
2015121900,143
2015122000,174
2015122100,156
2015122200,163
2015122300,164
2015122400,139
2015122500,120
2015122600,157
2015122700,270
2015122800,473
2015122900,241
2015123000,210
2015123100,135
2016010100,554
2016010200,360
2016010300,330
2016010400,289
2016010500,231
2016010600,215
2016010700,132
2016010800,161
2016010900,141
2016011000,164
2016011100,150
2016011200,162
2016011300,174
2016011400,234
2016011500,169
2016011600,185
2016011700,196
2016011800,183
2016011900,175
2016012000,186
2016012100,144
2016012200,461
2016012300,1134
2016012400,1506
2016012500,1760
2016012600,1621
2016012700,1663
2016012800,1508
2016012900,1584
2016013000,1915
2016013100,2236
2016020100,3275
2016020200,2801
2016020300,2988
2016020400,3680
2016020500,5408
2016020600,6863
2016020700,7712
2016020800,5191
2016020900,4207
2016021000,4354
2016021100,14990
2016021200,11470
2016021300,15846
2016021400,14800
2016021500,18262
2016021600,16367
2016021700,13895
2016021800,10358
2016021900,11986
2016022000,12651
2016022100,17402
2016022200,22030
2016022300,33018
2016022400,28573
2016022500,21274
2016022600,21854
2016022700,25392
2016022800,25697
2016022900,25367
2016030100,18334
2016030200,16483
2016030300,17633
2016030400,21238
2016030500,18718
2016030600,17757
2016030700,17301
2016030800,18188
2016030900,26956
2016031000,27687
2016031100,30834
