timestamp,views
2015070100,2307
2015070200,1879
2015070300,1889
2015070400,2131
2015070500,2342
2015070600,2472
2015070700,2129
2015070800,2089
2015070900,2213
2015071000,2800
2015071100,3960
2015071200,4122
2015071300,3199
2015071400,2802
2015071500,2952
2015071600,2483
2015071700,2653
2015071800,3198
2015071900,3601
2015072000,3574
2015072100,3089
2015072200,3122
2015072300,3459
2015072400,2820
2015072500,6430
2015072600,7333
2015072700,8082
2015072800,7497
2015072900,7564
2015073000,7533
2015073100,7019
2015080100,7151
2015080200,7126
2015080300,7089
2015080400,9845
2015080500,9373
2015080600,9503
2015080700,9666
2015080800,10390
2015080900,8823
2015081000,9988
2015081100,11691
2015081200,12437
2015081300,12004
2015081400,11014
2015081500,11283
2015081600,11478
2015081700,13499
2015081800,16053
2015081900,18604
2015082000,34938
2015082100,54838
