timestamp,views
2015110900,3364
2015111000,2848
2015111100,2754
2015111200,2884
2015111300,2486
2015111400,2659
2015111500,2881
2015111600,2719
2015111700,2644
2015111800,2772
2015111900,2685
2015112000,2504
2015112100,2693
2015112200,3272
2015112300,2936
2015112400,3058
2015112500,3275
2015112600,3011
2015112700,2971
2015112800,3301
2015112900,3572
2015113000,3249
2015120100,3153
2015120200,2872
2015120300,2771
2015120400,4347
2015120500,3568
2015120600,3544
2015120700,3938
2015120800,3608
2015120900,3237
2015121000,3027
2015121100,3100
2015121200,3055
2015121300,3276
2015121400,3716
2015121500,4139
2015121600,3632
2015121700,3216
2015121800,2822
2015121900,3462
2015122000,3965
2015122100,4052
2015122200,3956
2015122300,3919
2015122400,3776
2015122500,3590
2015122600,4342
2015122700,4895
2015122800,5364
2015122900,5000
2015123000,5998
2015123100,4928
2016010100,5807
2016010200,7031
2016010300,6501
2016010400,7406
2016010500,6892
2016010600,6350
2016010700,6436
2016010800,8803
2016010900,9178
2016011000,9465
2016011100,15245
2016011200,15559
2016011300,19237
2016011400,14898
2016011500,12712
2016011600,11154
2016011700,18089
2016011800,12325
2016011900,10479
2016012000,9861
2016012100,8587
2016012200,8934
2016012300,8865
2016012400,11107
2016012500,11356
2016012600,10328
2016012700,12277
2016012800,13619
2016012900,12826
2016013000,11807
2016013100,13835
2016020100,16257
2016020200,23041
2016020300,28286
2016020400,31868
2016020500,47765
