timestamp,views
2016011100,1
2016011200,2
2016011300,4
2016011400,69
2016011500,90
2016011600,63
2016011700,49
2016011800,65
2016011900,50
2016012000,40
2016012100,86
2016012200,246
2016012300,230
2016012400,229
2016012500,278
2016012600,216
2016012700,214
2016012800,217
2016012900,341
2016013000,309
2016013100,206
2016020100,271
2016020200,197
2016020300,225
2016020400,178
2016020500,199
2016020600,167
2016020700,181
2016020800,287
2016020900,213
2016021000,203
2016021100,181
2016021200,170
2016021300,222
2016021400,248
2016021500,250
2016021600,228
2016021700,239
2016021800,209
2016021900,237
2016022000,232
2016022100,219
2016022200,245
2016022300,208
2016022400,193
2016022500,174
2016022600,182
2016022700,157
2016022800,195
2016022900,241
2016030100,188
2016030200,221
2016030300,233
2016030400,205
2016030500,188
2016030600,255
2016030700,242
2016030800,383
2016030900,262
2016031000,223
2016031100,482
2016031200,695
2016031300,854
2016031400,829
2016031500,929
2016031600,832
2016031700,917
2016031800,938
2016031900,754
2016032000,829
2016032100,1054
2016032200,1211
2016032300,1035
2016032400,1108
2016032500,1321
2016032600,1391
2016032700,1660
2016032800,2106
2016032900,3402
2016033000,3484
2016033100,3665
2016040100,7221
