timestamp,views
2015112400,1625
2015112500,1695
2015112600,1464
2015112700,1358
2015112800,1558
2015112900,1708
2015113000,1675
2015120100,1561
2015120200,1467
2015120300,1779
2015120400,1743
2015120500,1582
2015120600,1612
2015120700,1687
2015120800,1600
2015120900,1582
2015121000,1542
2015121100,1475
2015121200,1391
2015121300,1458
2015121400,1820
2015121500,1531
2015121600,1447
2015121700,1261
2015121800,1250
2015121900,1222
2015122000,1336
2015122100,1586
2015122200,1600
2015122300,1729
2015122400,1411
2015122500,1443
2015122600,1811
2015122700,2017
2015122800,2105
2015122900,2026
2015123000,2036
2015123100,2086
2016010100,2138
2016010200,2323
2016010300,2607
2016010400,2731
2016010500,2359
2016010600,2298
2016010700,2197
2016010800,2162
2016010900,2009
2016011000,2241
2016011100,3811
2016011200,5189
2016011300,5673
2016011400,5262
2016011500,4524
2016011600,3480
2016011700,3447
2016011800,3209
2016011900,2750
2016012000,3524
2016012100,3104
2016012200,2693
2016012300,2632
2016012400,2817
2016012500,2776
2016012600,2588
2016012700,2552
2016012800,2726
2016012900,3015
2016013000,2978
2016013100,3343
2016020100,4072
2016020200,5744
2016020300,6373
2016020400,6631
2016020500,5510
2016020600,7153
2016020700,7469
2016020800,5977
2016020900,6865
2016021000,9454
2016021100,7211
2016021200,7340
2016021300,8219
2016021400,9359
2016021500,10175
2016021600,9497
2016021700,14058
2016021800,12711
2016021900,12117
2016022000,12256
2016022100,12960
2016022200,12872
2016022300,20456
2016022400,21014
2016022500,18783
2016022600,26248
