timestamp,views
2015070100,415
2015070200,402
2015070300,338
2015070400,368
2015070500,428
2015070600,421
2015070700,416
2015070800,433
2015070900,410
2015071000,367
2015071100,380
2015071200,430
2015071300,521
2015071400,481
2015071500,426
2015071600,383
2015071700,389
2015071800,412
2015071900,493
2015072000,429
2015072100,734
2015072200,528
2015072300,482
2015072400,427
2015072500,447
2015072600,529
2015072700,489
2015072800,488
2015072900,416
2015073000,401
2015073100,558
2015080100,898
2015080200,802
2015080300,593
2015080400,583
2015080500,642
2015080600,601
2015080700,581
2015080800,572
2015080900,646
2015081000,590
2015081100,643
2015081200,651
2015081300,588
2015081400,573
2015081500,555
2015081600,682
2015081700,711
2015081800,1116
2015081900,959
2015082000,748
2015082100,811
2015082200,753
2015082300,813
2015082400,814
2015082500,815
2015082600,722
2015082700,846
2015082800,980
2015082900,778
2015083000,797
2015083100,866
2015090100,957
2015090200,985
2015090300,1132
2015090400,867
2015090500,916
2015090600,1094
2015090700,928
2015090800,993
2015090900,935
2015091000,955
2015091100,970
2015091200,1136
2015091300,3099
2015091400,2365
2015091500,1415
2015091600,1570
2015091700,1196
2015091800,1204
2015091900,1329
2015092000,1197
2015092100,1144
2015092200,1249
2015092300,2489
2015092400,3930
2015092500,4305
2015092600,2642
2015092700,2332
2015092800,2271
2015092900,2030
2015093000,1486
2015100100,1451
2015100200,2213
2015100300,2327
2015100400,2363
2015100500,2057
2015100600,6492
2015100700,6163
2015100800,6021
2015100900,7872
2015101000,4005
2015101100,7051
2015101200,5452
2015101300,6814
2015101400,7664
2015101500,4791
2015101600,10141
