timestamp,views
2015120800,2243
2015120900,2098
2015121000,2813
2015121100,2285
2015121200,2383
2015121300,3044
2015121400,5191
2015121500,3219
2015121600,2863
2015121700,2486
2015121800,2242
2015121900,2264
2015122000,2533
2015122100,2658
2015122200,2434
2015122300,2328
2015122400,2113
2015122500,2222
2015122600,2871
2015122700,3165
2015122800,3398
2015122900,3151
2015123000,4054
2015123100,3149
2016010100,3654
2016010200,4208
2016010300,4326
2016010400,4270
2016010500,3798
2016010600,3435
2016010700,3496
2016010800,3846
2016010900,4320
2016011000,4562
2016011100,4908
2016011200,3770
2016011300,3438
2016011400,3583
2016011500,3460
2016011600,3822
2016011700,10954
2016011800,6680
2016011900,3380
2016012000,3204
2016012100,3982
2016012200,4680
2016012300,4199
2016012400,15489
2016012500,15223
2016012600,5053
2016012700,3822
2016012800,3403
2016012900,4085
2016013000,3444
2016013100,5158
2016020100,5278
2016020200,8962
2016020300,8781
2016020400,12808
2016020500,10276
2016020600,11079
2016020700,9934
2016020800,10035
2016020900,10855
2016021000,10651
2016021100,9887
2016021200,8738
2016021300,11369
2016021400,12324
2016021500,15853
2016021600,12081
2016021700,12644
2016021800,13673
2016021900,13992
2016022000,13419
2016022100,18326
2016022200,15151
2016022300,17062
2016022400,16867
2016022500,18562
2016022600,19864
2016022700,18242
2016022800,22901
2016022900,24685
2016030100,27360
2016030200,33929
2016030300,58462
2016030400,81700
