timestamp,views
2015122500,4160
2015122600,9877
2015122700,9955
2015122800,7460
2015122900,8896
2015123000,6485
2015123100,5264
2016010100,7203
2016010200,7450
2016010300,8320
2016010400,6154
2016010500,5390
2016010600,4209
2016010700,3877
2016010800,4595
2016010900,6860
2016011000,5584
2016011100,5422
2016011200,4579
2016011300,4059
2016011400,3589
2016011500,3662
2016011600,5155
2016011700,6044
2016011800,5375
2016011900,4185
2016012000,4047
2016012100,4352
2016012200,4757
2016012300,6634
2016012400,6359
2016012500,5271
2016012600,4244
2016012700,3507
2016012800,3427
2016012900,3721
2016013000,4874
2016013100,5204
2016020100,4331
2016020200,3775
2016020300,3802
2016020400,3424
2016020500,3832
2016020600,4374
2016020700,5970
2016020800,4115
2016020900,4694
2016021000,4632
2016021100,3788
2016021200,3879
2016021300,5262
2016021400,6142
2016021500,7952
2016021600,7367
2016021700,5125
2016021800,5330
2016021900,5607
2016022000,8318
2016022100,11336
2016022200,9270
2016022300,7138
2016022400,6593
2016022500,5658
2016022600,5222
2016022700,6009
2016022800,7325
2016022900,8781
2016030100,8838
2016030200,8549
2016030300,8907
2016030400,9633
2016030500,10698
2016030600,13663
2016030700,13702
2016030800,14986
2016030900,17461
2016031000,20893
2016031100,23256
2016031200,25995
2016031300,29603
2016031400,25533
2016031500,25825
2016031600,26841
2016031700,35224
2016031800,59482
