timestamp,views
2015070100,368
2015070200,383
2015070300,483
2015070400,659
2015070500,584
2015070600,717
2015070700,552
2015070800,549
2015070900,489
2015071000,479
2015071100,476
2015071200,483
2015071300,451
2015071400,503
2015071500,476
2015071600,436
2015071700,392
2015071800,483
2015071900,517
2015072000,438
2015072100,459
2015072200,426
2015072300,400
2015072400,436
2015072500,767
2015072600,549
2015072700,529
2015072800,509
2015072900,489
2015073000,445
2015073100,462
2015080100,617
2015080200,507
2015080300,583
2015080400,700
2015080500,442
2015080600,416
2015080700,525
2015080800,629
2015080900,650
2015081000,514
2015081100,783
2015081200,642
2015081300,591
2015081400,521
2015081500,612
2015081600,526
2015081700,549
2015081800,511
2015081900,479
2015082000,506
2015082100,557
2015082200,592
2015082300,620
2015082400,620
2015082500,568
2015082600,635
2015082700,824
2015082800,912
