timestamp,views
2015110200,2036
2015110300,1909
2015110400,1802
2015110500,1839
2015110600,1667
2015110700,2109
2015110800,2400
2015110900,2480
2015111000,2667
2015111100,5977
2015111200,7746
2015111300,4930
2015111400,3477
2015111500,3276
2015111600,2838
2015111700,2067
2015111800,1989
2015111900,2034
2015112000,1801
2015112100,2251
2015112200,2305
2015112300,2132
2015112400,1881
2015112500,2086
2015112600,2145
2015112700,2315
2015112800,2676
2015112900,2697
2015113000,2177
2015120100,1740
2015120200,1692
2015120300,3520
2015120400,1973
2015120500,2170
2015120600,2259
2015120700,2138
2015120800,2068
2015120900,2207
2015121000,2348
2015121100,2466
2015121200,7848
2015121300,4026
2015121400,7828
2015121500,3925
2015121600,2933
2015121700,3334
2015121800,3389
2015121900,3519
2015122000,3809
2015122100,4504
2015122200,4205
2015122300,4633
2015122400,5178
2015122500,10476
2015122600,8997
2015122700,8299
2015122800,7633
2015122900,5269
2015123000,7702
2015123100,10433
2016010100,21854
2016010200,16380
2016010300,11532
2016010400,17665
2016010500,22510
2016010600,18542
2016010700,13352
2016010800,11094
2016010900,14174
2016011000,22010
2016011100,21067
2016011200,73625
2016011300,25380
2016011400,16761
2016011500,11229
2016011600,15392
2016011700,15144
2016011800,17983
2016011900,16012
2016012000,19103
2016012100,18545
2016012200,19746
2016012300,20062
2016012400,32217
2016012500,41959
2016012600,30284
2016012700,27111
2016012800,29619
2016012900,48612
