,title,studio,gross,total theaters,opening gross,opening theaters,release
306,Merchants of Doubt,SPC,308156.0,30.0,20300.0,4.0,2015-03-06
307,Attack on Titan: Part 2,FUN,305934.0,230.0,12861.0,230.0,2015-10-20
308,NH10,Eros,303587.0,40.0,149546.0,40.0,2015-03-13
309,The Man in 3B,Free,291513.0,36.0,109043.0,36.0,2015-11-06
310,Above and Beyond,ICir,288751.0,13.0,6448.0,1.0,2015-01-30
311,Go Away Mr. Tumor,CL,286639.0,18.0,50036.0,15.0,2015-08-14
312,,,,,,,
313,"$11,092,426,656",-,,,,,
314,"$15,891,729",-,,,,,
315,,,,,,,
316,"Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )","Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )",,,,,
317,,,,,,,
318,Theeb,FM,283024.0,27.0,9181.0,3.0,2015-11-06
319,White God,Magn.,282358.0,29.0,16139.0,2.0,2015-03-27
320,A Borrowed Identity,Strand,281540.0,22.0,10308.0,1.0,2015-06-26
321,In the Name of my Daughter,Cohen,277528.0,50.0,14294.0,3.0,2015-05-15
322,Hitchcock/Truffaut,Cohen,260430.0,23.0,28178.0,3.0,2015-12-02
323,Love (2015),Alc,249083.0,25.0,29301.0,2.0,2015-10-30
324,Carter High,PN,240214.0,28.0,87274.0,21.0,2015-10-30
325,Tevar,Eros,236002.0,127.0,171026.0,127.0,2015-01-09
326,Hamari Adhuri Kahani,FIP,235361.0,67.0,131263.0,67.0,2015-06-12
327,20 Once Again,CJ,234573.0,13.0,92827.0,13.0,2015-01-16
328,Slow West,A24,229094.0,54.0,67003.0,50.0,2015-05-20
329,The Taking of Tiger Mountain,WGUSA,228984.0,13.0,50621.0,7.0,2015-01-02
330,A Royal Night Out,ADC,228136.0,158.0,100847.0,158.0,2015-12-04
331,A Pigeon Sat on a Branch Reflecting on Existence,Magn.,222989.0,17.0,25313.0,2.0,2015-06-03
332,Pyaar Ka Punchnama 2,Rel.,222856.0,49.0,107536.0,49.0,2015-10-16
333,Chocolate City,Free,212662.0,24.0,98829.0,15.0,2015-05-22
334,Fall in Love Like a Star,CL,212508.0,36.0,120074.0,36.0,2015-12-04
335,Wolf Totem,Sony,210591.0,5.0,,,2015-09-11
336,Dark Places,A24,208588.0,151.0,,151.0,2015-08-07
337,Heneral Luna,Abr.,206040.0,42.0,15485.0,3.0,2015-10-30
338,Escobar: Paradise Lost,RTWC,195792.0,105.0,106869.0,105.0,2015-06-26
339,Gemma Bovery,MBox,191533.0,29.0,19095.0,5.0,2015-05-29
340,The Connection,Drft.,190980.0,27.0,10335.0,2.0,2015-05-15
341,Love and Lost (Shi Gu),CL,188817.0,24.0,86048.0,24.0,2015-03-20
342,Stonewall (2015),RAtt.,187674.0,129.0,112834.0,129.0,2015-09-25
343,Maggie,RAtt.,187112.0,79.0,131175.0,79.0,2015-05-08
344,Detective K: Secret of the Lost Island,CJ,185367.0,19.0,57663.0,19.0,2015-03-06
345,The Priests,CJ,185093.0,13.0,,,2015-11-26
346,Lambert & Stamp,SPC,183320.0,31.0,13500.0,3.0,2015-04-03
347,An Honest Liar,Abr.,180590.0,15.0,13821.0,2.0,2015-03-06
348,Serena,Magn.,176391.0,59.0,100090.0,59.0,2015-03-27
349,The Young & Prodigious T.S. Spivet,Wein.,173564.0,100.0,33658.0,100.0,2015-07-31
350,The Farewell Party,Gold.,172860.0,14.0,7616.0,2.0,2015-05-22
351,All Things Must Pass,Grav.,172394.0,14.0,19001.0,2.0,2015-10-16
352,A Brilliant Young Mind,Gold.,171793.0,18.0,31408.0,3.0,2015-09-11
353,Time Out of Mind,IFC,166775.0,18.0,18934.0,3.0,2015-09-09
354,Snow Girl and the Dark Crystal,WGUSA,165428.0,24.0,73817.0,24.0,2015-02-27
355,3 Hearts,Cohen,164992.0,29.0,11794.0,1.0,2015-03-13
356,C'Est Si Bon,CJ,164167.0,23.0,,,2015-02-13
357,The Last Women Standing,CL,163406.0,17.0,73344.0,17.0,2015-11-11
358,5 to 7,IFC,162685.0,27.0,18006.0,2.0,2015-04-03
359,After The Ball,Free,161820.0,43.0,31718.0,41.0,2015-02-27
360,Human Capital,FM,158549.0,11.0,,,2015-01-09
361,Hell and Back,Free,157768.0,411.0,104374.0,411.0,2015-10-02
362,Experimenter,Magn.,155575.0,30.0,8682.0,3.0,2015-10-16
363,Desert Dancer,Rela.,155271.0,36.0,40763.0,23.0,2015-04-10
364,"Buen Dia, Ramon",FIP,154356.0,29.0,51105.0,15.0,2015-01-30
365,Backstreet Boys: Show 'Em What You're Made Of,Grav.,153068.0,60.0,153068.0,60.0,2015-01-30
366,Samba,BG,151530.0,27.0,24588.0,2.0,2015-07-24
367,The Tribe,Drft.,150564.0,13.0,11094.0,1.0,2015-06-17
368,Forever Young (2015),CL,149761.0,14.0,70047.0,14.0,2015-07-10
369,The New Girlfriend,Cohen,146754.0,45.0,39035.0,13.0,2015-09-18
370,The Last 5 Years,RTWC,145427.0,36.0,42042.0,3.0,2015-02-13
371,Tangerines,Gold.,144501.0,12.0,5180.0,1.0,2015-04-17
372,Yellow Day (2015),PFP,144163.0,40.0,26260.0,2.0,2015-12-11
373,Manglehorn,IFC,143101.0,27.0,11227.0,3.0,2015-06-19
374,Twenty (2015),CJ,136125.0,25.0,,,2015-04-17
375,La Sapienza,KL,135392.0,6.0,,,2015-03-20
376,Cop Car,Focus,134552.0,60.0,26146.0,3.0,2015-08-07
377,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,Argo.,133443.0,7.0,19206.0,3.0,2015-04-22
378,Ingrid Bergman: In Her Own Words,Rialto,132930.0,13.0,8355.0,1.0,2015-11-13
379,Devil and Angel (E Gun Tian Shi),CL,131058.0,12.0,44855.0,12.0,2015-12-31
380,Mississippi Grind,A24,130541.0,46.0,12434.0,1.0,2015-09-25
381,Kung Fu Killer,WGUSA,129784.0,28.0,58664.0,28.0,2015-04-24
382,Boy and the World,GK,129480.0,26.0,10077.0,2.0,2015-12-11
383,A Journey Through Time with Anthony,CL,127381.0,17.0,55292.0,17.0,2015-11-18
384,Boulevard,SM,126150.0,11.0,7000.0,1.0,2015-07-10
385,A Ballerina's Tale,IFC,125144.0,16.0,9388.0,2.0,2015-10-14
386,Z for Zachariah,RAtt.,121461.0,29.0,56902.0,29.0,2015-08-28
387,In Jackson Heights,Zipp.,121094.0,8.0,15150.0,1.0,2015-11-04
388,Do I Sound Gay?,IFC,119388.0,18.0,10461.0,1.0,2015-07-10
389,Digging for Fire,Orch.,119364.0,30.0,25000.0,3.0,2015-08-21
390,Love Live! The School Idol Movie,AZ,115840.0,28.0,115840.0,28.0,2015-09-11
391,Road Hard,FB,113169.0,22.0,105943.0,22.0,2015-03-06
392,She's Funny That Way,LGP,111996.0,26.0,,,2015-08-21
393,Memories of the Sword,WGUSA,111071.0,22.0,50240.0,22.0,2015-08-28
394,Roar!,Drft.,110048.0,19.0,15064.0,5.0,2015-04-15
395,The Look of Silence,Drft.,109089.0,14.0,6616.0,1.0,2015-07-17
396,Adult Beginners,RTWC,108808.0,54.0,36657.0,10.0,2015-04-24
397,The Beauty Inside,WGUSA,108083.0,23.0,50536.0,23.0,2015-09-11
398,The Chronicles of Evil,CJ,105057.0,13.0,,,2015-05-15
399,Results,Magn.,104507.0,21.0,17782.0,3.0,2015-05-29
400,Every Secret Thing,SM,103536.0,20.0,97020.0,20.0,2015-05-15
401,A LEGO Brickumentary,RTWC,101531.0,93.0,43285.0,93.0,2015-07-31
402,Man From Reno,FPE,101438.0,7.0,15158.0,4.0,2015-03-27
403,James White,TFA,101368.0,12.0,12007.0,1.0,2015-11-13
404,Ghost in the Shell: The New Movie,FUN,101203.0,267.0,,,2015-11-10
405,Black Souls (Anime Nere),Alc,101088.0,11.0,6286.0,2.0,2015-04-10
406,1915,BM,96682.0,10.0,30448.0,8.0,2015-04-17
407,A Poem Is a Naked Person (2015 re-issue),Jan.,96592.0,5.0,5526.0,1.0,2015-07-01
408,Saving Mr. Wu,UEP,92696.0,24.0,,24.0,2015-10-02
409,The Tales of Hoffmann (2015 re-issue),Rialto,91930.0,9.0,23340.0,2.0,2015-03-13
410,Christmas Eve,Ampl.,91302.0,44.0,45260.0,44.0,2015-12-04
411,Queen of Earth,IFC,91218.0,12.0,11360.0,2.0,2015-08-26
412,Beasts of No Nation,BST,90777.0,31.0,51003.0,31.0,2015-10-16
413,Legends from the Sky,HHF,90706.0,8.0,18168.0,8.0,2015-01-30
414,Hero (2015),Eros,88675.0,53.0,58445.0,53.0,2015-09-11
415,Sunshine Superman,Magn.,88097.0,21.0,8991.0,3.0,2015-05-22
416,Tab Hunter Confidential,TFC,84378.0,9.0,9945.0,2.0,2015-10-16
417,Trace Amounts,Gathr,80735.0,7.0,,,2015-01-02
418,,,,,,,
419,"$11,092,426,656",-,,,,,
420,"$15,891,729",-,,,,,
421,,,,,,,
422,"Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )","Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )",,,,,
423,,,,,,,
424,Heaven Knows What,RTWC,80734.0,14.0,16862.0,2.0,2015-05-29
425,Nasty Baby,Orch.,79800.0,18.0,8023.0,2.0,2015-10-23
426,Blackbird,Imag.,78400.0,13.0,45834.0,13.0,2015-04-24
427,Batkid Begins,WB,74709.0,14.0,19437.0,4.0,2015-06-26
428,Dragon Blade,LGP,74068.0,14.0,30346.0,14.0,2015-09-04
429,The Wonders,Osci.,73378.0,15.0,,,2015-10-30
430,Freaks of Nature,Sony,70958.0,107.0,42713.0,107.0,2015-10-30
431,Predestination,VE,68372.0,20.0,44028.0,20.0,2015-01-09
432,I Am Big Bird,Trib.,67845.0,17.0,10000.0,1.0,2015-05-06
433,Turbo Kid,EpicPics,67132.0,31.0,31428.0,26.0,2015-08-28
434,People Places Things,TFA,67046.0,19.0,31262.0,19.0,2015-08-14
435,Eden,BG,65460.0,15.0,18987.0,3.0,2015-06-19
436,The Duke of Burgundy,IFC,64521.0,10.0,11902.0,3.0,2015-01-23
437,The Office,CL,63675.0,15.0,34144.0,15.0,2015-09-18
438,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,Magn.,62660.0,22.0,5254.0,1.0,2015-09-25
439,Flowers,MBox,61568.0,5.0,6572.0,1.0,2015-10-30
440,Only You,CL,61565.0,13.0,27311.0,13.0,2015-07-24
441,Dark Star: H.R. Giger's World,Icar.,61044.0,10.0,8349.0,5.0,2015-05-15
442,Girlhood (2015),Strand,60765.0,5.0,7667.0,2.0,2015-01-30
443,Jauja,CGld,60231.0,3.0,8314.0,2.0,2015-03-20
444,Gueros,KL,60114.0,5.0,,,2015-05-20
445,Cooties,LGP,60058.0,29.0,33031.0,29.0,2015-09-18
446,I Smile Back,BG,58738.0,18.0,15758.0,2.0,2015-10-23
447,Rififi (2015 re-release),Rialto,57749.0,2.0,17396.0,2.0,2015-09-02
448,Entertainment,Magn.,55506.0,9.0,5132.0,2.0,2015-11-13
449,The Search for General Tso,IFC,54275.0,13.0,9336.0,2.0,2015-01-02
450,The Ark of Mr. Chow,CL,54075.0,12.0,22583.0,12.0,2015-06-19
451,Beloved Sisters,MBox,54030.0,9.0,19704.0,9.0,2015-01-09
452,Aloft,SPC,53086.0,17.0,2116.0,2.0,2015-05-22
453,The Quay Brothers in 35mm,Zeit.,51858.0,2.0,16995.0,1.0,2015-08-19
454,We Come As Friends,BBC,50921.0,8.0,,,2015-08-14
455,The Yes Men Are Revolting,Orch.,50190.0,20.0,12462.0,10.0,2015-06-12
456,The Advocate: A Missing Body,CJ,50162.0,9.0,19770.0,9.0,2015-10-23
457,Heist (2015),LGP,50136.0,24.0,28688.0,24.0,2015-11-13
458,Spring (2015),Drft.,49970.0,15.0,19675.0,12.0,2015-03-20
459,Difret,TA,49667.0,4.0,6777.0,1.0,2015-10-23
460,Red Herring,Indic.,49480.0,28.0,27804.0,28.0,2015-10-30
461,The Seven Five,IFC,48869.0,5.0,14785.0,2.0,2015-05-08
462,Bangistan,Eros,48694.0,41.0,34263.0,41.0,2015-08-07
463,Appropriate Behavior,Grav.,46912.0,11.0,19114.0,11.0,2015-01-16
464,Shanghai,Wein.,46425.0,103.0,26604.0,103.0,2015-10-02
465,Beyond the Reach,RAtt.,45895.0,27.0,30287.0,27.0,2015-04-17
466,Lost River,WB,45431.0,3.0,20828.0,3.0,2015-04-10
467,Mr. X,FIP,44995.0,52.0,30097.0,52.0,2015-04-17
468,The Salvation,IFC,44903.0,28.0,4651.0,2.0,2015-02-27
469,Madame Bovary,Alc,44235.0,15.0,20841.0,15.0,2015-06-12
470,Charlie's Country,MR,42937.0,8.0,5340.0,4.0,2015-06-05
471,Breathe,FM,42297.0,13.0,5063.0,1.0,2015-09-11
472,Pearl Button,KL,42166.0,5.0,,,2015-10-23
473,Nowitzki,Magn.,41340.0,4.0,20049.0,4.0,2015-07-10
474,Queen and Country,BBC,41297.0,9.0,5954.0,1.0,2015-02-18
475,Censored Voices,MBox,41260.0,6.0,6153.0,2.0,2015-11-20
476,The New Rijksmuseum,FRun,40578.0,5.0,2631.0,3.0,2015-06-19
477,The Phone,CJ,40516.0,11.0,3824.0,1.0,2015-11-06
478,What Our Fathers Did: A Nazi Legacy,Osci.,40119.0,14.0,8132.0,2.0,2015-11-06
479,WARx2,WARX2,39704.0,1.0,30931.0,1.0,2015-09-18
480,Prophet's Prey,SHO,39347.0,9.0,5000.0,1.0,2015-09-18
481,Lila & Eve,Gold.,38263.0,22.0,21806.0,22.0,2015-07-17
482,Match,IFC,37285.0,9.0,6000.0,3.0,2015-01-14
483,Before We Go,RTWC,37151.0,21.0,18630.0,21.0,2015-09-04
484,The Mafia Only Kills in Summer,Distrib.,37134.0,5.0,,,2015-03-06
485,Grey Gardens (2015 re-release),Jan.,36923.0,1.0,13845.0,1.0,2015-03-06
486,Knock Knock,LGP,36336.0,22.0,18623.0,22.0,2015-10-09
487,Kindergarten Teacher,KL,36190.0,4.0,,,2015-07-31
488,Welcome to Leith,FRun,36010.0,5.0,3707.0,1.0,2015-09-09
489,Finders Keepers (2015),Orch.,35555.0,32.0,5740.0,5.0,2015-09-25
490,River of Fundament,ICir,35415.0,2.0,9938.0,1.0,2015-12-04
491,Wild City,WGUSA,34866.0,11.0,17181.0,11.0,2015-07-31
492,The Forbidden Room,KL,34404.0,5.0,,,2015-10-07
493,Pierrot le fou (2015 re-issue),Rialto,34371.0,1.0,7922.0,1.0,2015-12-18
494,Song One,TFA,32251.0,27.0,20200.0,27.0,2015-01-23
495,Love Forecast,CJ,32211.0,1.0,11600.0,1.0,2015-01-23
496,Amira & Sam,Drft.,31849.0,10.0,15535.0,9.0,2015-01-30
497,"Out 1, noli me tangere",CFilms,31539.0,4.0,12537.0,4.0,2015-11-06
498,Don Verdean,LGP,31309.0,40.0,12907.0,40.0,2015-12-11
499,"3 1/2 Minutes, 10 Bullets",Part.,30407.0,8.0,2238.0,1.0,2015-06-19
500,Runoff,Mont.,30186.0,6.0,9515.0,1.0,2015-06-26
501,Paul Taylor: Creative Domain,INDEP,30168.0,7.0,8150.0,1.0,2015-09-11
502,Paulette,Cohen,29494.0,2.0,8882.0,1.0,2015-08-14
503,Rebels of the Neon God,BWP,28791.0,4.0,,,2015-04-10
504,Americons,AD,28782.0,14.0,14404.0,14.0,2015-01-23
505,Hard to Be a God,KL,28608.0,3.0,,,2015-01-30
506,The Nightmare,Grav.,28281.0,16.0,13363.0,16.0,2015-06-05
507,"Like Sunday, Like Rain",Mont.,28208.0,6.0,1082.0,2.0,2015-03-06
508,7 Chinese Brothers,Scre.,28180.0,8.0,,,2015-08-28
509,The Cut,Strand,28066.0,5.0,5327.0,5.0,2015-09-18
510,The Keeping Room,Drft.,27166.0,10.0,4328.0,2.0,2015-09-25
511,Tap World,Vita.,26747.0,3.0,8714.0,3.0,2015-07-10
512,Peace Officer,SD,26632.0,11.0,,,2015-09-16
513,Sembene!,KL,26164.0,3.0,,,2015-11-13
514,The Army of Shadows (2015 re-release),Rialto,25450.0,1.0,8112.0,1.0,2015-08-26
515,Rediscover Sautet,Rialto,25314.0,1.0,,,2015-06-12
516,Love At First Fight,Strand,25229.0,7.0,3187.0,2.0,2015-05-22
517,R100,Drft.,24956.0,11.0,7263.0,10.0,2015-01-23
518,Olvidados (Forgotten),Libre,24638.0,1.0,2791.0,1.0,2015-09-18
519,Big Game,EC,24572.0,11.0,16909.0,11.0,2015-06-26
520,Kill Me Three Times,Magn.,24296.0,16.0,15477.0,16.0,2015-04-10
521,Unexpected,TFA,23986.0,32.0,,,2015-07-24
522,The Winding Stream,Argo.,23489.0,3.0,3660.0,3.0,2015-12-16
523,Can't Stand Losing You: Surviving the Police,Libre,23262.0,5.0,5656.0,2.0,2015-03-20
524,,,,,,,
525,"$11,092,426,656",-,,,,,
526,"$15,891,729",-,,,,,
527,,,,,,,
528,"Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )","Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )",,,,,
529,,,,,,,
530,"Hippocrates, Diary of a French Doctor",Distrib.,23050.0,2.0,5908.0,1.0,2015-06-19
531,Court,Zeit.,22898.0,2.0,4806.0,1.0,2015-07-15
532,Salut D'Amour,CJ,22480.0,1.0,6514.0,1.0,2015-04-10
533,Metropolitan (2015 re-release),Rialto,22284.0,3.0,7554.0,1.0,2015-08-07
534,Slow Learners,IFC,22272.0,6.0,948.0,1.0,2015-08-19
535,Princess Cut,WMP,22167.0,4.0,,,2015-07-28
536,Animals (2015),Osci.,21821.0,11.0,14471.0,10.0,2015-05-15
537,Noma - My Perfect Storm,Magn.,21130.0,5.0,2987.0,4.0,2015-12-18
538,Consumed,Gathr,20476.0,3.0,,,2015-11-10
539,Boy Meets Girl (2015),Bram.,20441.0,4.0,5306.0,1.0,2015-02-06
540,"Love, Rosie",TFA,20431.0,15.0,14893.0,15.0,2015-02-06
541,Futuro Beach,Strand,20262.0,4.0,3324.0,1.0,2015-02-27
542,Friends and Romans,Pala.,20136.0,14.0,,1.0,2015-10-23
543,Forbidden Games (1952),Rialto,19889.0,1.0,4316.0,1.0,2015-04-24
544,Wild Canaries,IFC,19777.0,4.0,2683.0,1.0,2015-02-25
545,Misery Loves Comedy,Trib.,19634.0,8.0,5300.0,1.0,2015-04-24
546,Going Away,Cohen,19501.0,1.0,7714.0,1.0,2015-10-02
547,A Hard Day,KL,19004.0,2.0,,,2015-07-17
548,The Challenger,WinD,19003.0,28.0,12246.0,28.0,2015-09-11
549,Ardor,Part.,18565.0,17.0,13726.0,17.0,2015-07-17
550,Gabo: The Creation of Gabriel Garcia Marquez,Icar.,18467.0,4.0,1432.0,1.0,2015-10-01
551,The Little Death,Magn.,18238.0,4.0,3118.0,2.0,2015-06-26
552,Gangnam 1970,CJ,18022.0,1.0,18022.0,1.0,2015-02-06
553,The Other One,Indic.,17727.0,6.0,11718.0,6.0,2015-06-26
554,Mediterranea,IFC,17663.0,2.0,5846.0,2.0,2015-11-20
555,Trash,FCW,17484.0,17.0,10230.0,17.0,2015-10-09
556,Strangerland,Alc,17472.0,15.0,17472.0,15.0,2015-07-10
557,Great Museum,KL,17048.0,1.0,,,2015-07-03
558,Eastern Boys,FRun,16831.0,2.0,5726.0,1.0,2015-02-27
559,Extraction,LGP,16775.0,13.0,10948.0,13.0,2015-12-18
560,Eva,Wein.,16738.0,50.0,10395.0,50.0,2015-03-13
561,This Changes Everything,Abr.,16692.0,1.0,9770.0,1.0,2015-10-03
562,The World of Kanako,Drft.,16627.0,12.0,6834.0,11.0,2015-12-04
563,Who Took Johnny,Rum.,16595.0,2.0,7666.0,1.0,2015-04-24
564,Life in a Walk,Gathr,16557.0,1.0,,,2015-09-02
565,The Human Centipede 3 (Final Sequence),IFC,16184.0,23.0,,2.0,2015-05-22
566,Can You Dig This,Gathr,15909.0,13.0,,,2015-11-27
567,Full Moon in Paris,FM,15726.0,1.0,5040.0,1.0,2015-04-17
568,Number One Fan,Distrib.,15549.0,1.0,1023.0,1.0,2015-09-04
569,Cheatin',Ply,15077.0,10.0,,,2015-04-03
570,Zombeavers,Free,14947.0,11.0,8163.0,11.0,2015-03-20
571,Gloria (2015),PH,14701.0,3.0,7930.0,3.0,2015-07-17
572,10 Days in a Madhouse,CafeP,14616.0,10.0,4773.0,1.0,2015-11-11
573,Buzzard,Osci.,14591.0,11.0,8031.0,11.0,2015-03-06
574,The Hallow,IFC,13906.0,8.0,1559.0,1.0,2015-11-06
575,Backcountry,IFC,13848.0,1.0,1005.0,1.0,2015-03-20
576,Amour Fou,FM,13702.0,3.0,4385.0,3.0,2015-03-18
577,Eli,Eros,13547.0,18.0,7098.0,18.0,2015-06-19
578,Yakuza Apocalypse,Gold.,12756.0,1.0,,,2015-10-09
579,"10,000 Km",BG,12423.0,11.0,8941.0,11.0,2015-07-10
580,The Armor of Light,FFS,12267.0,26.0,,,2015-10-30
581,Arabian Nights: Volume 1 - The Restless One,KL,12260.0,3.0,,,2015-12-04
582,Wa-shoku: Beyond Sushi,UTMW,12240.0,1.0,5582.0,1.0,2015-04-10
583,Murder in the Park,IFC,12088.0,3.0,1310.0,1.0,2015-06-26
584,Little England,Crnth,12077.0,1.0,5775.0,1.0,2015-05-17
585,Of Horses and Men,MBox,11894.0,2.0,9565.0,1.0,2015-03-06
586,Emptying the Skies,MBox,11811.0,2.0,4818.0,2.0,2015-04-22
587,Marie's Story,FM,11720.0,8.0,,,2015-05-01
588,Kidnapping of Michel Houellebecq,KL,11546.0,1.0,,,2015-03-25
589,The Devil's Violinist,Free,11294.0,10.0,8013.0,10.0,2015-01-30
590,1001 Grams,KL,10983.0,1.0,,,2015-05-08
591,Just Before I Go,Anch.,10970.0,2.0,8129.0,2.0,2015-04-24
592,Digging Up the Marrow,HF,10969.0,1.0,,,2015-02-12
593,Mala Mala,Strand,10761.0,2.0,2569.0,2.0,2015-07-01
594,Empire of Lust,CJ,10654.0,1.0,2230.0,1.0,2015-03-06
595,The Forecaster,FOR,10172.0,1.0,,,2015-03-27
596,Little Accidents,Ampl.,10071.0,17.0,8649.0,17.0,2015-01-16
597,The Mind of Mark DeFriest,CDF,10021.0,6.0,,,2015-03-06
598,Still Life (2015),Trib.,9481.0,5.0,,,2015-01-16
599,"One Cut, One Life",FRun,9406.0,2.0,4127.0,2.0,2015-05-13
600,Cupcakes,Strand,9129.0,3.0,2570.0,1.0,2015-03-27
601,The Lesson,FM,9045.0,1.0,,,2015-03-04
602,Station to Station,SD,9000.0,1.0,9000.0,1.0,2015-08-21
603,Butterfly Girl,Indic.,8956.0,2.0,4326.0,2.0,2015-04-03
604,Northern Soul,Free,8886.0,10.0,6786.0,10.0,2015-10-02
605,B-Side,Indic.,8870.0,3.0,6544.0,3.0,2015-07-10
606,The Pardon,Mont.,8845.0,3.0,1418.0,1.0,2015-06-26
607,Paul Coelho's Best Story,MBox,8808.0,5.0,5295.0,5.0,2015-07-31
608,Dawn of the Crescent Moon,Indic.,8799.0,3.0,6411.0,3.0,2015-07-24
609,Meet Me in Montenegro,Orch.,8612.0,10.0,5010.0,10.0,2015-07-10
610,Farewell to Hollywood,ICir,8601.0,3.0,572.0,1.0,2015-02-25
611,Counting,CGld,8374.0,1.0,4904.0,1.0,2015-07-31
612,The Messenger (2015),KL,8309.0,9.0,,,2015-12-04
613,The Girl in the Book,Free,8245.0,10.0,5249.0,10.0,2015-12-11
614,A Fool (Yi ge shao zi),CL,8212.0,2.0,5741.0,2.0,2015-11-27
615,Jellyfish Eyes,Jan.,8176.0,1.0,1927.0,1.0,2015-07-15
616,Every Thing Will be Fine,IFC,8034.0,2.0,1428.0,2.0,2015-12-04
617,Steak (R)evolution,KL,8025.0,7.0,,,2015-07-17
618,Straight Outta Tompkins,Indic.,8022.0,2.0,4011.0,2.0,2015-03-06
619,Gone Doggy Gone,Indic.,8001.0,2.0,5625.0,2.0,2015-06-26
620,One Small Hitch,Free,7965.0,10.0,5328.0,10.0,2015-02-06
621,Kilo Two Bravo,Hon,7891.0,11.0,,,2015-11-13
622,The Great Man,Distrib.,7814.0,1.0,2482.0,1.0,2015-08-14
623,The Riot Club,IFC,7734.0,5.0,2188.0,1.0,2015-03-27
624,Area 51,PARAIN,7556.0,16.0,7556.0,16.0,2015-05-15
625,On the Way to School,Distrib.,7424.0,2.0,,,2015-02-06
626,Rubble Kings,Sab.,7416.0,3.0,,,2015-06-19
627,The Film Critic,MBox,7358.0,2.0,839.0,2.0,2015-05-15
628,The Dinner,FM,7282.0,2.0,805.0,1.0,2015-08-07
629,Antarctic Edge,FRun,7193.0,1.0,3131.0,1.0,2015-04-17
630,,,,,,,
