,title,studio,gross,total theaters,opening gross,opening theaters,release
73,Hot Pursuit,WB,34580201.0,3037.0,13942258.0,3003.0,2015-05-08
74,Concussion (2015),Sony,34542474.0,2841.0,10513749.0,2841.0,2015-12-25
75,The DUFF,LGF,34030343.0,2622.0,10809149.0,2575.0,2015-02-20
76,Woman in Gold,Wein.,33307793.0,2011.0,2091551.0,258.0,2015-04-01
77,The Second Best Exotic Marigold Hotel,FoxS,33078266.0,2022.0,8540370.0,1573.0,2015-03-06
78,Unfriended,Uni.,32482090.0,2775.0,15845115.0,2739.0,2015-04-17
79,Entourage,WB,32363404.0,3108.0,10283250.0,3108.0,2015-06-03
80,Paper Towns,Fox,32000304.0,3031.0,12650140.0,3031.0,2015-07-24
81,Chappie,Sony,31569268.0,3201.0,13346782.0,3201.0,2015-03-06
82,Crimson Peak,Uni.,31090320.0,2991.0,13143310.0,2984.0,2015-10-16
83,A Walk in the Woods,BG,29504281.0,2158.0,8246267.0,1960.0,2015-09-02
84,Point Break (2015),WB,28782481.0,2910.0,9800252.0,2910.0,2015-12-25
85,Sinister 2,Focus,27740955.0,2799.0,10542116.0,2766.0,2015-08-21
86,The Last Witch Hunter,LG/S,27367660.0,3082.0,10812861.0,3082.0,2015-10-23
87,No Escape,Wein.,27288872.0,3415.0,8111264.0,3355.0,2015-08-26
88,Ricki and the Flash,TriS,26822144.0,2064.0,6610961.0,1603.0,2015-08-07
89,The Woman in Black 2: Angel of Death,Rela.,26501323.0,2602.0,15027415.0,2602.0,2015-01-02
90,Run All Night,WB,26461644.0,3171.0,11012305.0,3171.0,2015-03-13
91,Love the Coopers,LGF,26302731.0,2603.0,8317545.0,2603.0,2015-11-13
92,The Lazarus Effect,Rela.,25801047.0,2666.0,10203437.0,2666.0,2015-02-27
93,Ex Machina,A24,25442958.0,2004.0,237264.0,4.0,2015-04-10
94,In the Heart of the Sea,WB,25020758.0,3103.0,11053366.0,3103.0,2015-12-11
95,The Gallows,WB,22764410.0,2720.0,9808463.0,2720.0,2015-07-10
96,Hitman: Agent 47,Fox,22467450.0,3273.0,8326530.0,3261.0,2015-08-21
97,Project Almanac,Par.,22348241.0,2900.0,8310252.0,2893.0,2015-01-30
98,Black or White,Rela.,21571189.0,1823.0,6213362.0,1823.0,2015-01-30
99,Aloha,Sony,21067116.0,2815.0,9670235.0,2815.0,2015-05-29
100,,,,,,,
101,"$11,092,426,656",-,,,,,
102,"$15,891,729",-,,,,,
103,,,,,,,
104,"Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )","Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )",,,,,
105,,,,,,,
106,The Secret in their Eyes (2015),STX,20180155.0,2392.0,6652996.0,2392.0,2015-11-20
107,Shaun the Sheep Movie,LGF,19375982.0,2360.0,4038962.0,2320.0,2015-08-05
108,Still Alice,SPC,18754371.0,1318.0,197000.0,12.0,2015-01-16
109,Paranormal Activity: The Ghost Dimension,Par.,18300124.0,1656.0,8070493.0,1656.0,2015-10-23
110,Steve Jobs,Uni.,17766658.0,2493.0,521522.0,4.0,2015-10-09
111,Mr. Holmes,RAtt.,17737646.0,898.0,2434908.0,361.0,2015-07-17
112,Dope,ORF,17506470.0,2002.0,6100010.0,2002.0,2015-06-19
113,Seventh Son,Uni.,17223265.0,2875.0,7217640.0,2875.0,2015-02-06
114,Monkey Kingdom,BV,16432322.0,2012.0,4577861.0,2012.0,2015-04-17
115,The Transporter Refueled,EC,16029670.0,3434.0,7355622.0,3434.0,2015-09-04
116,Room,A24,14674733.0,862.0,118298.0,4.0,2015-10-16
117,It Follows,RTWC,14674076.0,1655.0,160089.0,4.0,2015-03-13
118,American Ultra,LGF,14440985.0,2778.0,5454284.0,2778.0,2015-08-21
119,Woodlawn,PFR,14394097.0,1553.0,4002226.0,1553.0,2015-10-16
120,Burnt,Wein.,13651946.0,3003.0,5002521.0,3003.0,2015-10-30
121,Do You Believe?,PFR,12985600.0,1356.0,3591282.0,1320.0,2015-03-20
122,Carol,Wein.,12711491.0,790.0,253510.0,4.0,2015-11-20
123,Love & Mercy,RAtt.,12551031.0,791.0,2122177.0,481.0,2015-06-05
124,Strange Magic,BV,12429583.0,3020.0,5504441.0,3020.0,2015-01-23
125,Hot Tub Time Machine 2,Par.,12314651.0,2901.0,5963324.0,2880.0,2015-02-20
126,Self/Less,Focus,12279691.0,2353.0,5403460.0,2353.0,2015-07-10
127,Far from the Madding Crowd,FoxS,12236500.0,902.0,164985.0,10.0,2015-05-01
128,The 33,WB,12227722.0,2452.0,5787266.0,2452.0,2015-11-13
129,The Danish Girl,Focus,11114018.0,794.0,187318.0,4.0,2015-11-27
130,The Gunman,ORF,10664749.0,2816.0,5028702.0,2816.0,2015-03-20
131,Unfinished Business,Fox,10219501.0,2777.0,4772613.0,2777.0,2015-03-06
132,The Walk,TriS,10137502.0,2509.0,1560299.0,448.0,2015-09-30
133,The Lady in the Van,SPC,9738796.0,602.0,,,2015-12-04
134,Un Gallo con Muchos Huevos,LGF,9080818.0,616.0,3424702.0,395.0,2015-09-04
135,Amy,A24,8413144.0,435.0,222500.0,6.0,2015-07-03
136,Bajrangi Bhaijaan,Eros,8178001.0,257.0,2621282.0,257.0,2015-07-17
137,Dragon Ball Z: Resurrection 'F',FUN,8008363.0,913.0,1817937.0,183.0,2015-08-04
138,Blackhat,Uni.,8005980.0,2568.0,3901815.0,2567.0,2015-01-16
139,Trumbo (2015),BST,7857741.0,660.0,74177.0,5.0,2015-11-06
140,Mortdecai,LGF,7696134.0,2648.0,4200586.0,2648.0,2015-01-23
141,While We're Young,A24,7587485.0,762.0,227688.0,4.0,2015-03-27
142,I'll See You In My Dreams,BST,7449681.0,290.0,52091.0,3.0,2015-05-15
143,The Green Inferno,HTR,7192291.0,1543.0,3520626.0,1540.0,2015-09-25
144,Our Brand Is Crisis (2015),WB,7002261.0,2202.0,3238433.0,2202.0,2015-10-30
145,Grandma (2015),SPC,6980524.0,1061.0,115540.0,4.0,2015-08-21
146,Me and Earl and the Dying Girl,FoxS,6758416.0,870.0,196496.0,15.0,2015-06-12
147,Baahubali: The Beginning,BSC,6738000.0,236.0,3575000.0,236.0,2015-07-09
148,Bajirao Mastani,Eros,6557047.0,304.0,1744975.0,304.0,2015-12-18
149,Little Boy,ORF,6485961.0,1045.0,2750356.0,1045.0,2015-04-24
150,The Loft,ORF,6002684.0,1841.0,2747342.0,1841.0,2015-01-30
151,Victor Frankenstein,Fox,5775076.0,2797.0,2469341.0,2797.0,2015-11-25
152,Danny Collins,BST,5637066.0,739.0,72459.0,5.0,2015-03-20
153,Dilwale,UTV,4871263.0,268.0,1920402.0,268.0,2015-12-17
154,90 Minutes in Heaven,Gold.,4842699.0,899.0,2035273.0,878.0,2015-09-11
155,True Story,FoxS,4719695.0,856.0,1950214.0,831.0,2015-04-17
156,Suffragette,Focus,4702420.0,517.0,76244.0,4.0,2015-10-23
157,Prem Ratan Dhan Payo,FIP,4364639.0,287.0,2425585.0,287.0,2015-11-12
158,45 Years,IFC,4247285.0,251.0,65775.0,3.0,2015-12-23
159,The Water Diviner,WB,4196641.0,385.0,1220335.0,320.0,2015-04-24
160,Irrational Man,SPC,4030360.0,925.0,175312.0,7.0,2015-07-17
161,Anomalisa,Par.,3759286.0,573.0,135222.0,4.0,2015-12-30
162,Scouts Guide to the Zombie Apocalypse,Par.,3703046.0,1509.0,1841007.0,1509.0,2015-10-30
163,A La Mala,LGF,3629842.0,384.0,1402118.0,384.0,2015-02-27
164,Spare Parts,LGF,3618912.0,440.0,1335768.0,440.0,2015-01-16
165,We Are Your Friends,WB,3591417.0,2333.0,1767308.0,2333.0,2015-08-28
166,What We Do in the Shadows,U/P,3469224.0,154.0,88940.0,5.0,2015-02-13
167,Learning to Drive,BG,3447633.0,339.0,66015.0,4.0,2015-08-21
168,Phoenix (2015),IFC,3184472.0,197.0,30296.0,2.0,2015-07-24
169,Wild Tales,SPC,3106530.0,122.0,85100.0,4.0,2015-02-20
170,Dil Dhadakne Do,Eros,3066100.0,238.0,1326267.0,238.0,2015-06-05
171,Ladrones,LGF,3063505.0,375.0,1411031.0,375.0,2015-10-09
172,Tanu Weds Manu Returns,Eros,3044347.0,136.0,1006476.0,136.0,2015-05-22
173,Rock The Kasbah,ORF,3020664.0,2012.0,1470592.0,2012.0,2015-10-23
174,The End of the Tour,A24,3002884.0,355.0,123238.0,4.0,2015-07-31
175,Youth,FoxS,2703296.0,149.0,78085.0,4.0,2015-12-04
176,He Named Me Malala,FoxS,2668936.0,477.0,61808.0,4.0,2015-10-02
177,Chi-Raq,RAtt.,2653032.0,305.0,1198453.0,305.0,2015-12-04
178,Captive (2015),Par.,2583301.0,807.0,1393243.0,806.0,2015-09-18
179,Truth,SPC,2541854.0,1122.0,66232.0,6.0,2015-10-16
180,Mistress America,FoxS,2500431.0,512.0,93206.0,4.0,2015-08-14
181,Pawn Sacrifice,BST,2436633.0,781.0,202053.0,33.0,2015-09-16
182,2015 Oscar Nominated Short Films,Shrts.,2412593.0,280.0,416850.0,118.0,2015-01-30
183,Meru,MBox,2334228.0,176.0,91279.0,7.0,2015-08-14
184,My All American,CE,2246000.0,1565.0,1365000.0,1565.0,2015-11-13
185,Jem and the Holograms,Uni.,2184640.0,2417.0,1375320.0,2413.0,2015-10-23
186,Tamasha,UTV,2065487.0,182.0,1006059.0,182.0,2015-11-25
187,Cake,CLF,1951776.0,482.0,916179.0,482.0,2015-01-23
188,Old Fashioned,Free,1914090.0,298.0,38965.0,3.0,2015-02-06
189,Assassination (2015),WGUSA,1904682.0,33.0,287700.0,33.0,2015-08-07
190,Game of Thrones (IMAX),WB,1896092.0,205.0,1464932.0,205.0,2015-01-30
191,Legend,Uni.,1872994.0,107.0,86836.0,4.0,2015-11-20
192,Clouds of Sils Maria,IFC,1851517.0,187.0,61810.0,3.0,2015-04-10
193,Testament of Youth,SPC,1822250.0,104.0,53000.0,4.0,2015-06-05
194,Piku,Yash,1801807.0,124.0,941490.0,119.0,2015-05-08
195,The Vatican Tapes,LGF,1784763.0,427.0,832271.0,427.0,2015-07-24
196,Son of Saul,SPC,1767793.0,180.0,37930.0,3.0,2015-12-18
197,Meet the Patels,Alc,1700681.0,101.0,72180.0,5.0,2015-09-11
198,Back to the Future Day,UHE,1650000.0,1815.0,,,2015-10-21
199,The Letters,Free,1647416.0,886.0,700683.0,886.0,2015-12-04
200,The Diary of a Teenage Girl,SPC,1477002.0,795.0,52334.0,4.0,2015-08-07
201,I (2015),AaF,1449232.0,222.0,771312.0,222.0,2015-01-13
202,Infinitely Polar Bear,SPC,1430655.0,110.0,47000.0,5.0,2015-06-19
203,Mr. Six,CL,1415450.0,32.0,332117.0,30.0,2015-12-24
204,99 Homes,BG,1411927.0,691.0,32253.0,2.0,2015-09-25
205,Welcome Back,Eros,1388365.0,135.0,714235.0,135.0,2015-09-04
206,,,,,,,
207,"$11,092,426,656",-,,,,,
208,"$15,891,729",-,,,,,
209,,,,,,,
210,"Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )","Data as of:  Today  Today in 2015  Jan. 31, 2015  Feb. 28, 2015  Mar. 31, 2015  Apr. 30, 2015  May 31, 2015  Jun. 30, 2015  Jul. 31, 2015  Aug. 31, 2015  Sep. 30, 2015  Oct. 31, 2015  Nov. 30, 2015  Dec. 31, 2015  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2015  2016  )",,,,,
211,,,,,,,
212,The Cokeville Miracle,Excel,1348456.0,51.0,159468.0,51.0,2015-06-05
213,The Salt of the Earth,SPC,1343349.0,80.0,44900.0,4.0,2015-03-27
214,Iris (2015),Magn.,1310678.0,92.0,57254.0,6.0,2015-04-29
215,Lost in Hong Kong,WGUSA,1302281.0,34.0,537736.0,28.0,2015-09-25
216,The Wolfpack,Magn.,1301696.0,94.0,43920.0,2.0,2015-06-12
217,Goodbye Mr. Loser,CL,1293626.0,40.0,363949.0,22.0,2015-10-09
218,'71,RAtt.,1270847.0,121.0,55761.0,4.0,2015-02-27
219,Mojin: The Lost Legend,WGUSA,1243810.0,27.0,279974.0,22.0,2015-12-18
220,Beyond the Mask,Gathr,1236094.0,181.0,18801.0,17.0,2015-04-06
221,Child 44,LG/S,1224330.0,510.0,621812.0,510.0,2015-04-17
222,Veteran,CJ,1200627.0,46.0,371754.0,46.0,2015-09-18
223,Goodnight Mommy,RTWC,1178196.0,90.0,63641.0,4.0,2015-09-11
224,Black Sea,Focus,1171559.0,353.0,37675.0,5.0,2015-01-23
225,Miss You Already,RAtt.,1162653.0,384.0,552506.0,384.0,2015-11-06
226,Where Hope Grows,RAtt.,1156000.0,276.0,457287.0,276.0,2015-05-15
227,Macbeth (2015),Wein.,1110707.0,108.0,69833.0,5.0,2015-12-04
228,The Overnight,Orch.,1110522.0,307.0,53022.0,3.0,2015-06-19
229,Timbuktu,Cohen,1076075.0,56.0,45110.0,4.0,2015-01-28
230,Dior and I,Orch.,1028953.0,105.0,45772.0,2.0,2015-04-10
231,5 Flights Up,Focus,1020921.0,94.0,238491.0,87.0,2015-05-08
232,Big Stone Gap,PH,1009301.0,280.0,362422.0,280.0,2015-10-09
233,Faith of Our Fathers,PFR,1004105.0,344.0,438000.0,344.0,2015-07-01
234,Gett: The Trial of Viviane Amsalem,MBox,988150.0,74.0,24210.0,2.0,2015-02-13
235,The 100-Year Old Man Who Climbed Out the Window and Disappeared,MBox,944193.0,76.0,,,2015-05-01
236,Boruto: Naruto the Movie,Elev.,919651.0,358.0,380419.0,140.0,2015-10-10
237,Singh is Bling,Eros,919095.0,135.0,487040.0,135.0,2015-10-02
238,Best of Enemies,Magn.,892802.0,69.0,50378.0,3.0,2015-07-31
239,ABCD (Any Body Can Dance) 2,UTV,892133.0,146.0,444195.0,146.0,2015-06-19
240,Mustang,Cohen,835318.0,57.0,20321.0,3.0,2015-11-20
241,Sleeping with Other People,IFC,819431.0,392.0,89102.0,5.0,2015-09-11
242,The Wrecking Crew,Magn.,801606.0,65.0,56858.0,7.0,2015-03-13
243,Labyrinth of Lies,SPC,794452.0,72.0,22101.0,3.0,2015-09-30
244,Seymour: An Introduction,IFC,743541.0,64.0,26587.0,2.0,2015-03-13
245,Once I Was a Beehive,Purd.,732655.0,32.0,48409.0,19.0,2015-08-14
246,Cartel Land,Orch.,704352.0,65.0,15581.0,2.0,2015-07-03
247,Tangerine,Magn.,702354.0,44.0,60683.0,4.0,2015-07-10
248,The Himalayas,CJ,696717.0,36.0,13387.0,3.0,2015-12-18
249,Red Army,SPC,694600.0,84.0,20100.0,3.0,2015-01-23
250,The D Train,IFC,673151.0,1009.0,447661.0,1009.0,2015-05-08
251,The Stanford Prison Experiment,IFC,660561.0,79.0,37514.0,2.0,2015-07-17
252,The Assassin,WGUSA,632542.0,53.0,47892.0,4.0,2015-10-16
253,"Kumiko, The Treasure Hunter",Ampl.,623383.0,71.0,34114.0,4.0,2015-03-18
254,Brothers: Blood Against Blood,FIP,613775.0,164.0,357404.0,164.0,2015-08-14
255,Welcome to Me,Alc,608852.0,119.0,34920.0,2.0,2015-05-01
256,Detective Byomkesh Bakshy,Yash,579055.0,82.0,338637.0,82.0,2015-04-03
257,Freeheld,LGF,573335.0,148.0,37983.0,5.0,2015-10-02
258,When Marnie Was There,GK,561085.0,57.0,27388.0,2.0,2015-05-22
259,Jimmy's Hall,SPC,560592.0,47.0,19881.0,3.0,2015-07-03
260,A Little Chaos,Focus,558173.0,87.0,181791.0,83.0,2015-06-26
261,Remember,EOne,547009.0,43.0,27006.0,27.0,2015-10-16
262,By the Sea,Uni.,538460.0,142.0,96250.0,10.0,2015-11-13
263,Gabbar is Back,Eros,534601.0,107.0,279429.0,107.0,2015-05-01
264,The Last - Naruto the Movie,Elev.,524451.0,34.0,179370.0,23.0,2015-02-20
265,Shaandaar,FIP,521794.0,136.0,384685.0,136.0,2015-10-22
266,Black Panthers: Vanguard of the Revolution,PBS,516893.0,12.0,20215.0,1.0,2015-09-02
267,Deli Man,Cohen,502294.0,38.0,37321.0,15.0,2015-02-27
268,Peggy Guggenheim Art Addict,SD,498428.0,25.0,22258.0,2.0,2015-11-06
269,Steve Jobs: The Man in the Machine,Magn.,494506.0,68.0,140064.0,68.0,2015-09-04
270,Phantom (2015),UTV,489984.0,93.0,266756.0,93.0,2015-08-28
271,Somewhere Only We Know,CL,482341.0,46.0,304934.0,46.0,2015-02-13
272,Brotherly Love,Free,478595.0,200.0,246902.0,200.0,2015-04-24
