title,studio,gross,total theaters,opening gross,opening theaters,release,wiki views
Elsa & Fred (2014),MNE,285863.0,34.0,65275.0,34.0,2014-11-07,
Kundo: Age of the Rampant,WGUSA,280958.0,28.0,120857.0,28.0,2014-08-29,
"20,000 Days on Earth",Drft.,279558.0,28.0,27879.0,1.0,2014-09-17,19841.0
The Unknown Known,RTWC,276497.0,80.0,64315.0,18.0,2014-04-04,
Main Tera Hero,Eros,274579.0,77.0,162404.0,77.0,2014-04-04,
Night Moves,Cdgm.,271755.0,56.0,21488.0,2.0,2014-05-30,
Love on the Cloud (Wei Ai),CL,271734.0,17.0,67967.0,17.0,2014-12-24,
The Love Punch,KE,266588.0,121.0,26420.0,40.0,2014-05-23,
Life of Crime,RAtt.,265452.0,37.0,104300.0,37.0,2014-08-29,
,,,,,,,
"$10,435,358,613",-,,,,,,
"$14,865,183",-,,,,,,
,,,,,,,
"Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )","Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )",,,,,,
,,,,,,,
Ernest & Celestine,GK,262075.0,39.0,13078.0,1.0,2014-02-28,
Blue Ruin,RTWC,258384.0,61.0,32608.0,7.0,2014-04-25,
The Green Prince,MBox,258237.0,24.0,32698.0,4.0,2014-09-12,
The Zero Theorem,Ampl.,257706.0,63.0,83803.0,63.0,2014-09-19,
Action Jackson (2014),Eros,256872.0,125.0,171795.0,125.0,2014-12-05,
Alive Inside,B360,256682.0,20.0,7200.0,1.0,2014-07-18,
The Blue Room,IFC,254666.0,42.0,21809.0,3.0,2014-10-03,
National Gallery,Zipp.,253941.0,15.0,10049.0,1.0,2014-11-05,
Tazza: The Hidden Card,CJ,251555.0,11.0,24106.0,1.0,2014-09-19,
The Galapagos Affair: Satan Came to Eden,Zeit.,247159.0,15.0,5185.0,1.0,2014-04-04,
James Cameron's Deepsea Challenge 3D,DLA,235659.0,304.0,149879.0,304.0,2014-08-08,
Art and Craft,Osci.,235037.0,20.0,20879.0,2.0,2014-09-19,
Diplomacy,Zeit.,230880.0,14.0,8518.0,1.0,2014-10-15,
Dr. Cabbie (U.S. only),Eros,225490.0,220.0,118732.0,220.0,2014-11-26,
The Suspect (2014),WGUSA,218693.0,20.0,86137.0,20.0,2014-01-10,
Supermensch: The Legend of Shep Gordon,RTWC,213064.0,46.0,23017.0,4.0,2014-06-06,
The Breakup Guru,CL,208959.0,12.0,62717.0,12.0,2014-06-27,3585.0
Rob the Mob,MNE,208693.0,30.0,13833.0,1.0,2014-03-21,0.0
Under the Electric Sky,Focus,207584.0,25.0,,,2014-05-29,
Jinn,Free,202348.0,201.0,149337.0,201.0,2014-04-04,
Bethlehem,AF,201700.0,29.0,69700.0,26.0,2014-03-07,
The Double (2014),Magn.,200406.0,16.0,14646.0,2.0,2014-05-09,
Listen Up Philip,Trib.,200126.0,30.0,23284.0,2.0,2014-10-17,
A Summer's Tale,BWP,198126.0,9.0,12863.0,2.0,2014-06-20,
Code Black,Long Shot,190229.0,10.0,6319.0,1.0,2014-06-20,
We Are The Best!,Magn.,180590.0,23.0,17664.0,3.0,2014-05-30,
Anita,Gold.,176979.0,12.0,44114.0,7.0,2014-03-21,
Evangelion: 3.0 You Can (Not) Redo,Elev.,174945.0,82.0,110825.0,82.0,2014-01-10,
Horns,RTWC,173948.0,103.0,107544.0,103.0,2014-10-31,
Afternoon of a Faun,KL,172450.0,11.0,15292.0,2.0,2014-02-05,
That Demon Within,CL,172343.0,16.0,77130.0,12.0,2014-04-18,
God's Pocket,IFC,169976.0,80.0,21482.0,3.0,2014-05-09,
NAS: Time is Illmatic,Trib.,164540.0,43.0,23200.0,2.0,2014-10-01,
Keep On Keepin' On,RTWC,163745.0,9.0,12930.0,2.0,2014-09-19,
Sinbad: The Fifth Voyage,GFl,159862.0,27.0,,,2014-02-07,
Citizen Koch,Vari.,153908.0,24.0,10200.0,1.0,2014-06-06,
Alan Partridge: The Movie,Magn.,153426.0,22.0,12664.0,3.0,2014-04-04,
Dancing in Jaffa,IFC,151098.0,23.0,10564.0,2.0,2014-04-11,
A Coffee in Berlin,MBox,150275.0,12.0,3918.0,1.0,2014-06-13,
Godzilla: The Japanese Original,Rialto,150191.0,21.0,10903.0,1.0,2014-04-18,
Kids For Cash,Pala.,143178.0,12.0,36639.0,4.0,2014-02-07,
Gore Vidal: United States of Amnesia,IFC,140164.0,11.0,13744.0,2.0,2014-05-23,
Mistaken for Strangers,Abr.,138991.0,9.0,87743.0,9.0,2014-03-28,
The Congress,Drft.,137815.0,37.0,28640.0,15.0,2014-08-29,
The Divine Move,CJ,136707.0,11.0,49057.0,11.0,2014-07-25,
Redwood Highway,Mont.,134049.0,17.0,30.0,1.0,2014-04-11,
The Jewish Cardinal,FM,133663.0,7.0,,,2014-01-10,
Raja Natwarlal,UTV,131105.0,73.0,83669.0,73.0,2014-08-29,
Bjork - Biophilia Live,CP,127754.0,27.0,,,2014-09-26,
Make Your Move,HTR,125106.0,142.0,81172.0,142.0,2014-04-18,
Knights of Badassdom,EOne,123854.0,13.0,17449.0,13.0,2014-01-21,
Afflicted (2014),CBS,121179.0,44.0,69447.0,44.0,2014-04-04,
Finding Fela,KL,120980.0,11.0,,,2014-08-01,
Zero Motivation,Zeit.,116044.0,7.0,9427.0,1.0,2014-12-03,
God the Father,RM,113276.0,15.0,15037.0,1.0,2014-10-17,
The Liberator,Cohen,113067.0,77.0,69992.0,76.0,2014-10-03,
Penton: The John Penton Story,Gathr,112159.0,14.0,,,2014-06-23,
Rich Hill,Orch.,111376.0,28.0,9635.0,1.0,2014-08-01,
The Overnighters,Drft.,110763.0,23.0,4324.0,1.0,2014-10-10,
Duran Duran: Unstaged,P4,110746.0,,,,2014-09-10,
Anohana The Movie: The Flower We Saw That Day,Elev.,109630.0,41.0,37480.0,17.0,2014-01-18,
Ivory Tower,Gold.,106771.0,12.0,17857.0,2.0,2014-06-13,
Six Dance Lessons in Six Weeks,Da.,106323.0,13.0,12542.0,7.0,2014-12-12,
The Golden Era,CL,102931.0,15.0,50242.0,15.0,2014-10-17,
God Help the Girl,Ampl.,102757.0,59.0,11330.0,2.0,2014-09-05,40818.0
Coherence,Osci.,102617.0,7.0,17000.0,2.0,2014-06-20,
The Way He Looks,Strand,101451.0,14.0,26334.0,9.0,2014-11-07,
Korengal,Sab.,101310.0,11.0,14630.0,1.0,2014-05-30,
One Chance,Wein.,101196.0,43.0,33405.0,43.0,2014-10-10,
Beyond Sight: The Derek Rabelo Story,WOWF,101074.0,2.0,26840.0,2.0,2014-03-07,
The Best Offer,IFC,100035.0,15.0,2595.0,1.0,2014-01-03,
Child's Pose,Zeit.,97170.0,10.0,12955.0,2.0,2014-02-19,
Hiroshima Mon Amour (2014 re-release),Rialto,96439.0,7.0,18494.0,5.0,2014-10-17,
Cuban Fury,EOne,92384.0,79.0,57105.0,79.0,2014-04-11,33626.0
Generation War,MBox,91595.0,7.0,7386.0,1.0,2014-01-15,
Girl on a Bicycle,Mont.,91401.0,52.0,37610.0,52.0,2014-02-14,
Pump,SD,89787.0,10.0,42200.0,3.0,2014-09-19,
Breathe In,Cohen,89661.0,41.0,15324.0,18.0,2014-03-28,
The Principle,RM,89543.0,3.0,8657.0,1.0,2014-10-24,
Life After Beth,A24,88273.0,30.0,15843.0,2.0,2014-08-15,
Advanced Style,B360,87879.0,12.0,6500.0,1.0,2014-09-26,
Visitors (2014),Cdgm.,84577.0,13.0,9094.0,1.0,2014-01-24,
Watermark,EOne,84464.0,16.0,7724.0,2.0,2014-04-04,
12 O'Clock Boys,Osci.,82614.0,21.0,44108.0,21.0,2014-01-31,
Water & Power,NS,82312.0,16.0,39428.0,16.0,2014-05-02,
Fort McCoy,Mont.,78948.0,14.0,4070.0,2.0,2014-08-15,
Whitey: USA v. James J. Bulger,Magn.,75881.0,9.0,14287.0,3.0,2014-06-27,
Just a Sigh,Distrib.,75531.0,6.0,11500.0,2.0,2014-03-21,
Better Living Through Chemistry,Gold.,75143.0,61.0,46435.0,61.0,2014-03-14,0.0
Veil of Tears,WF,72078.0,8.0,44358.0,8.0,2014-03-28,
"Flamenco, Flamenco",Da.,71732.0,5.0,1259.0,1.0,2014-07-18,
"Je T'aime, Je T'aime (2014 re-issue)",FDesk,71717.0,2.0,12869.0,1.0,2014-02-14,
A Letter to Momo,GK,71712.0,7.0,4596.0,1.0,2014-07-23,
The Better Angels,Ampl.,70918.0,24.0,4246.0,2.0,2014-11-07,13800.0
Take Me to the River,Abr.,68598.0,13.0,25588.0,12.0,2014-09-12,
For No Good Reason,SPC,67421.0,21.0,4516.0,2.0,2014-04-25,
The Notebook (2014),SPC,66559.0,15.0,3127.0,2.0,2014-08-29,
Through a Lens Darkly,FRun,65169.0,3.0,9456.0,1.0,2014-08-27,
Art of the Steal,RTWC,64065.0,60.0,40003.0,60.0,2014-03-14,
Jealousy,Distrib.,63946.0,6.0,5533.0,1.0,2014-08-15,
,,,,,,,
"$10,435,358,613",-,,,,,,
"$14,865,183",-,,,,,,
,,,,,,,
"Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )","Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )",,,,,,
,,,,,,,
Heropanti,UTV,63649.0,16.0,32831.0,16.0,2014-05-23,
No Tears for the Dead,CJ,63063.0,13.0,8329.0,1.0,2014-06-13,
The Last Sentence,MBox,62506.0,6.0,9020.0,2.0,2014-06-20,
Young and Beautiful,IFC,61067.0,8.0,4607.0,1.0,2014-04-25,
Siddharth,Zeit.,60537.0,6.0,4564.0,1.0,2014-06-27,
Bicycling with Moliere,Strand,59874.0,6.0,3896.0,1.0,2014-04-23,
Frontera,Magn.,59696.0,14.0,10962.0,3.0,2014-09-05,
Wetlands,Strand,59478.0,10.0,6488.0,1.0,2014-09-05,
Cheap Thrills,Drft.,59424.0,18.0,18638.0,2.0,2014-03-21,
Walk of Shame,Focus,59209.0,51.0,39751.0,51.0,2014-05-02,117051.0
The One I Wrote For You,Abr.,58872.0,49.0,48643.0,49.0,2014-12-05,
Sagrada: The Mystery of Creation,FRun,58755.0,5.0,2009.0,1.0,2014-09-12,
The Conformist (2014 re-release),KL,58657.0,4.0,,,2014-08-29,
Rudderless,Gold.,58293.0,18.0,37440.0,18.0,2014-10-17,
Borgman,Drft.,57474.0,14.0,5317.0,2.0,2014-06-06,
The Rocket (2014),KL,56823.0,7.0,4621.0,2.0,2014-01-10,
Ilo Ilo,FM,56773.0,4.0,8775.0,2.0,2014-04-04,
The Bag Man,Cdgm.,56574.0,15.0,29231.0,2.0,2014-02-28,
Big Men,Abr.,56286.0,3.0,7539.0,1.0,2014-03-14,
In Bloom,BWP,56092.0,4.0,9280.0,2.0,2014-01-10,
Hellion,IFC,55708.0,9.0,7601.0,1.0,2014-06-13,20610.0
Starred Up,Trib.,54915.0,7.0,10358.0,2.0,2014-08-27,
Half of a Yellow Sun,Mont.,54529.0,7.0,4843.0,1.0,2014-05-16,
Low Down,Osci.,54051.0,8.0,5278.0,1.0,2014-10-24,
Hateship Loveship,IFC,54030.0,15.0,6015.0,1.0,2014-04-11,
"1,000 Times Good Night",FM,53895.0,24.0,24120.0,24.0,2014-10-24,
At Middleton,Anch.,53837.0,20.0,33768.0,20.0,2014-01-31,
Ping Pong Summer,Grav.,52909.0,17.0,25781.0,17.0,2014-06-06,
To Be Takei,SM,52823.0,22.0,22846.0,22.0,2014-08-22,
The Missing Picture,Strand,52164.0,9.0,10148.0,5.0,2014-03-19,
The Retrieval,Vari.,50257.0,5.0,7232.0,1.0,2014-03-14,
The Discoverers,Quad,50020.0,4.0,7166.0,1.0,2014-05-16,
NOW: In the Wings on a World Stage,Spa.,49591.0,3.0,21500.0,3.0,2014-05-02,
Shirin in Love,SSR,49254.0,,,,2014-03-14,
The Internet's Own Boy,FB/Part.,48911.0,12.0,21705.0,12.0,2014-06-27,
A Birder's Guide to Everything,Scre.,48713.0,8.0,21602.0,8.0,2014-03-21,
American Mustang,Vita.,48700.0,3.0,7906.0,1.0,2014-01-17,
Viva La Liberta,Distrib.,48541.0,10.0,5272.0,2.0,2014-11-07,
Lucky Them,IFC,48421.0,9.0,3728.0,1.0,2014-05-30,
Decoding Annie Parker,EOne,48390.0,13.0,16781.0,13.0,2014-05-02,
Alphaville (2013 re-release),Rialto,47696.0,2.0,7298.0,1.0,2014-02-07,
A Master Builder,Abr.,46874.0,4.0,7017.0,1.0,2014-07-23,
Monk With a Camera,KL,45938.0,4.0,,,2014-11-21,
Filmistaan,UTV,45406.0,24.0,31113.0,24.0,2014-06-06,
Return to The Hiding Place,SEA,45405.0,5.0,36942.0,5.0,2014-05-23,
Ai Weiwei: The Fake Case,ICir,45255.0,8.0,5066.0,1.0,2014-05-16,
There's No Place Like Utopia,RM,45254.0,5.0,30710.0,1.0,2014-07-18,
The Dog,Drft.,44581.0,16.0,12431.0,3.0,2014-08-08,
If You Build It,Long Shot,43393.0,5.0,4949.0,1.0,2014-01-10,
Road to Ninja - Naruto the Movie,Elev.,43171.0,44.0,19017.0,40.0,2014-08-29,
Next Goal Wins,KE,43089.0,10.0,2568.0,5.0,2014-04-25,4643.0
Interior. Leather Bar.,Strand,42534.0,2.0,5218.0,1.0,2014-01-03,
Blood Ties (2014),RAtt.,42472.0,28.0,26912.0,28.0,2014-03-21,
The Last Of The Unjust,Cohen,40563.0,8.0,14328.0,8.0,2014-02-07,
Teenage,Osci.,40169.0,4.0,8000.0,1.0,2014-03-14,
Child of God,WGUSA,39324.0,8.0,27630.0,8.0,2014-08-01,
Expedition to the End of the World,Argo.,39115.0,4.0,6635.0,1.0,2014-08-20,
7 Boxes,BGP,38106.0,7.0,6447.0,6.0,2014-02-07,
Dead Snow 2: Red vs. Dead,WGUSA,37473.0,25.0,17331.0,25.0,2014-10-10,
Not Cool,SM,36026.0,1.0,10329.0,1.0,2014-09-19,
Le Jour Se Leve (2014 re-release),Rialto,35321.0,3.0,11864.0,3.0,2014-11-14,
That Man From Rio,Cohen,35144.0,2.0,,,2014-08-22,
Beneath the Harvest Sky,Trib.,34768.0,10.0,16768.0,8.0,2014-04-25,
This Ain't No Mouse Music!,Argo.,34754.0,6.0,15982.0,4.0,2014-09-19,
Expelled from Paradise,Elev.,34510.0,13.0,18869.0,13.0,2014-12-13,
Tiger & Bunny The Movie: The Rising,Elev.,34471.0,18.0,23171.0,18.0,2014-03-14,
Filth,Magn.,34411.0,5.0,7526.0,3.0,2014-05-30,
Rocks in my Pockets,Zeit.,34236.0,3.0,4674.0,1.0,2014-09-03,
White Bird in a Blizzard,Magn.,33821.0,14.0,6302.0,4.0,2014-10-24,
It Felt Like Love,Vari.,33817.0,3.0,8211.0,1.0,2014-03-21,
K: Missing Kings,Elev.,33531.0,39.0,,,2014-07-18,
Big Bad Wolves,Magn.,33232.0,7.0,6342.0,6.0,2014-01-17,
A Field in England,Drft.,32846.0,13.0,9498.0,13.0,2014-02-07,
For a Woman,FM,32286.0,4.0,6530.0,2.0,2014-05-02,
The Hero of Color City,Magn.,32188.0,69.0,24260.0,69.0,2014-10-03,
Bird People,IFC,32111.0,7.0,7443.0,1.0,2014-09-12,
Abuse of Weakness,Strand,31611.0,5.0,9140.0,1.0,2014-08-15,
The Passionate Thief (2014 re-release),Rialto,31539.0,2.0,8677.0,1.0,2014-12-05,
Documented,DefA,30662.0,3.0,5422.0,1.0,2014-05-02,
Happy Christmas,Magn.,30312.0,9.0,7523.0,4.0,2014-07-25,
Jimmy P,IFC,30283.0,8.0,7191.0,1.0,2014-02-14,
Southern Baptist Sissies,TFC,30160.0,3.0,5200.0,1.0,2014-02-21,
A Long Way Off,MVE,30104.0,15.0,1926.0,1.0,2014-05-16,
Manakamana,CGld,30029.0,4.0,3635.0,1.0,2014-04-18,
Yellow Day,PFP,29656.0,1.0,29144.0,1.0,2014-09-19,
Othello (2014 re-release),CFilms,28980.0,4.0,6010.0,2.0,2014-04-25,
Why Don't You Play in Hell,Drft.,28534.0,11.0,5060.0,3.0,2014-11-07,
Stations of the Elevated,APD/C,28516.0,1.0,9423.0,1.0,2014-10-17,
Closed Curtain,Vari.,28098.0,5.0,5002.0,1.0,2014-07-09,
The King and the Mockingbird,Rialto,27513.0,8.0,3721.0,1.0,2014-11-21,
Lilting,Strand,27054.0,9.0,1567.0,1.0,2014-09-26,11913.0
Last Weekend,IFC,27053.0,8.0,2661.0,1.0,2014-08-29,
Elena (2014),Vari.,25788.0,2.0,10341.0,1.0,2014-05-30,
Christian Mingle,RM,25480.0,15.0,19836.0,15.0,2014-10-10,
Level Five,Icar.,25386.0,2.0,7161.0,2.0,2014-08-15,
Adult World,IFC,25368.0,11.0,3783.0,2.0,2014-02-14,
Born to Fly: Elizabeth Streb vs. Gravity,TFC,24630.0,3.0,8406.0,1.0,2014-09-10,
Happy Valley (2014),MBox,23868.0,4.0,9047.0,4.0,2014-11-21,
Believe Me,Riot,23419.0,14.0,,14.0,2014-09-26,21608.0
A Tale of Winter (Conte d'hiver),BWP,23268.0,3.0,3802.0,1.0,2014-12-19,
,,,,,,,
"$10,435,358,613",-,,,,,,
"$14,865,183",-,,,,,,
,,,,,,,
"Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )","Data as of:  Today  Today in 2014  Jan. 31, 2014  Feb. 28, 2014  Mar. 31, 2014  Apr. 30, 2014  May 31, 2014  Jun. 30, 2014  Jul. 31, 2014  Aug. 31, 2014  Sep. 30, 2014  Oct. 31, 2014  Nov. 30, 2014  Dec. 31, 2014  Specify Date  About this feature  or (  Month  Jan.  Feb.  Mar.  Apr.  May  Jun.  Jul.  Aug.  Sep.  Oct.  Nov.  Dec.  / Day  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  / 2014  2015  )",,,,,,
,,,,,,,
Video Games: The Movie,Vari.,23043.0,25.0,12759.0,25.0,2014-07-18,
Short Peace,Elev.,22862.0,27.0,,,2014-03-03,
Two Lives,IFC,22620.0,1.0,1303.0,1.0,2014-02-28,
Grand Piano,Magn.,22555.0,10.0,2964.0,2.0,2014-03-07,
May in the Summer,Cohen,22004.0,8.0,,,2014-08-22,
Bright Days Ahead,Trib.,21770.0,6.0,4919.0,4.0,2014-04-25,
The Decent One,KL,21327.0,2.0,,,2014-10-01,
Memphis,KL,21286.0,5.0,,,2014-09-05,
The Sacrifice,KL,20945.0,2.0,,,2014-11-12,
Lekar Hum Deewana Dil,Eros,20874.0,50.0,14418.0,50.0,2014-07-04,
The Great Flood,Icar.,20694.0,1.0,3596.0,1.0,2014-01-08,
Run and Jump,IFC,20061.0,3.0,3944.0,2.0,2014-01-24,
The Past is a Grotesque Animal,Osci.,20056.0,10.0,,,2014-06-20,
Uzumasa Limelight,Elev.,19597.0,13.0,10090.0,13.0,2014-12-05,
A Picture of You,FPE,19480.0,1.0,5650.0,1.0,2014-06-20,
Guardian Angel,RME,19480.0,2.0,12624.0,2.0,2014-10-17,
Peter Brook: The Tightrope,FRun,19365.0,2.0,6768.0,1.0,2014-01-31,
Actress (2014),CGld,19365.0,4.0,4880.0,1.0,2014-11-07,
Watchers of the Sky,MBox,19339.0,4.0,7473.0,4.0,2014-10-17,
The Kill Team,Osci.,18983.0,2.0,,,2014-07-25,
Test,Vari.,18823.0,6.0,,1.0,2014-06-06,
Tasting Menu,Magn.,18686.0,5.0,6010.0,5.0,2014-04-18,
Two Night Stand,EOne,18612.0,5.0,15600.0,5.0,2014-09-26,
Who is Dayani Cristal?,KL,18190.0,2.0,5712.0,2.0,2014-04-25,
Journey to the West,Magn.,18058.0,7.0,7456.0,7.0,2014-03-07,
Kelly & Cal,IFC,17702.0,6.0,5387.0,1.0,2014-09-05,
The Homestretch,KF,17306.0,1.0,8373.0,1.0,2014-09-12,
Stand Clear of the Closing Doors,Osci.,17282.0,3.0,7000.0,1.0,2014-05-23,
Accident,Rialto,17161.0,1.0,5798.0,1.0,2014-05-23,
Goodbye To All That,IFC,16986.0,3.0,,1.0,2014-12-17,
Cold Comes the Night,Gold.,16971.0,21.0,11603.0,21.0,2014-01-10,
Hank and Asha,FR,16878.0,2.0,6192.0,1.0,2014-04-11,
Burning Bush,KL,16731.0,2.0,,,2014-06-11,
Magician: The Astonishing Life and Work of Orson Welles,Cohen,16400.0,2.0,7130.0,2.0,2014-12-10,
Levitated Mass,FRun,16086.0,3.0,4589.0,1.0,2014-09-05,
Barefoot,RAtt.,15071.0,18.0,11767.0,18.0,2014-02-21,0.0
Horses of God,KL,14817.0,2.0,2251.0,1.0,2014-05-14,
Last Passenger,Cohen,14806.0,10.0,9326.0,10.0,2014-04-25,
Exhibition,KL,14344.0,1.0,,,2014-06-20,
13 Sins,RTWC,13809.0,45.0,9261.0,45.0,2014-04-18,
The Pretty One,Da.,13769.0,5.0,1484.0,1.0,2014-02-07,
Tosca's Kiss (2014 re-release),Icar.,13670.0,2.0,418.0,1.0,2014-06-06,
Fifi Howls From Happiness,MBox,13614.0,2.0,2728.0,1.0,2014-08-08,
One Day Pina Asked...,Icar.,13434.0,2.0,1756.0,1.0,2014-04-04,
War of the Worlds: Goliath,BCMG,13385.0,18.0,13385.0,18.0,2014-03-07,
A Long Way Down,Magn.,13347.0,5.0,1426.0,1.0,2014-07-11,44964.0
Camp X-Ray,IFC,13302.0,7.0,1316.0,1.0,2014-10-17,79530.0
Days and Nights,IFC,13243.0,1.0,6003.0,1.0,2014-09-26,
Sol LeWitt,Icar.,13146.0,2.0,4051.0,1.0,2014-05-07,
The Pleasures of Being Out of Step,FRun,13137.0,2.0,1846.0,1.0,2014-05-16,
K2: Siren of the Himalayas,FRun,12959.0,2.0,1421.0,2.0,2014-08-22,
Alien Abduction,IFC,12897.0,13.0,10514.0,13.0,2014-04-04,
Concerning Violence,KL,12680.0,2.0,,,2014-12-05,
Special ID,WGUSA,12666.0,10.0,6153.0,10.0,2014-03-07,
Bhopal: A Prayer for Rain,Rvl,12628.0,2.0,5948.0,1.0,2014-11-07,
Boy Meets Girl,CFilms,12589.0,1.0,,,2014-08-08,
Touch the Wall,TTW,12156.0,2.0,6200.0,2.0,2014-11-28,
Wolves,KE,12139.0,12.0,,,2014-11-14,
In No Great Hurry: 13 Lessons in Life with Saul Leiter,mTuck,12133.0,4.0,6100.0,1.0,2014-01-03,
The French Minister,IFC,12027.0,1.0,3800.0,1.0,2014-03-21,
Queen Margot (2014 re-release),Cohen,12005.0,1.0,4985.0,1.0,2014-05-09,
Revenge of the Mekons,MBox,11861.0,3.0,2354.0,1.0,2014-10-29,
Falcon Rising,Free,11774.0,10.0,8691.0,10.0,2014-09-05,
Life of Riley,KL,11616.0,1.0,,,2014-10-24,
Living is Easy with Eyes Closed,Outs,11600.0,1.0,11600.0,1.0,2014-06-27,
You're Not You,EOne,11486.0,5.0,9226.0,5.0,2014-10-10,
The Great Invisible,RTWC,11428.0,5.0,2348.0,3.0,2014-10-29,
The Final Member,Drft.,11428.0,10.0,2064.0,7.0,2014-04-18,
The Amazing Catfish,Strand,11342.0,3.0,733.0,1.0,2014-06-13,
Dishkiyaoon,Eros,11288.0,11.0,8173.0,11.0,2014-03-28,
Policeman,Crnth,11263.0,2.0,7379.0,2.0,2014-06-13,
Pay 2 Play: Democracy's High Stakes,SFI,11021.0,2.0,2233.0,1.0,2014-09-05,
The Players,Wein.,10854.0,50.0,6674.0,50.0,2014-04-04,
As It Is In Heaven,,10850.0,2.0,531.0,1.0,2014-07-18,
Inside the Mind of Leonardo Da Vinci in 3D,SD,10600.0,5.0,,,2014-12-19,
"Norte, the End of History",CGld,10457.0,2.0,2164.0,1.0,2014-06-20,
Stray Dogs,CGld,10433.0,3.0,2998.0,1.0,2014-09-12,
The Endless Summer (2014 re-release),Mont.,10233.0,32.0,,,2014-07-23,
Before I Disappear,IFC,10078.0,5.0,2676.0,1.0,2014-11-28,22884.0
Kabbalah Me,FRun,9816.0,2.0,2196.0,1.0,2014-08-22,
Marius,KL,9781.0,2.0,,1.0,2014-07-04,
"If You Don't, I Will",FM,9719.0,1.0,1707.0,1.0,2014-12-17,
On the Other Side of the Tracks,Wein.,9572.0,50.0,5923.0,50.0,2014-04-04,
In the House of Flies,PDF,9480.0,4.0,3500.0,4.0,2014-05-09,
Radio Free Albemuth,Free,9365.0,10.0,5553.0,10.0,2014-06-27,
The Immortalists,Gathr,9331.0,3.0,1308.0,3.0,2014-11-26,
Honeymoon,Magn.,9318.0,3.0,4131.0,2.0,2014-09-12,
The Sacrament,Magn.,9221.0,5.0,583.0,1.0,2014-06-06,
The Cabinet of Dr. Caligari (2014 re-release),KL,8811.0,1.0,,,2014-10-31,
Fanny,KL,8735.0,2.0,1872.0,1.0,2014-07-25,
Comet,IFC,8623.0,8.0,,2.0,2014-12-05,
The Mystery of Happiness,Strand,8528.0,2.0,382.0,2.0,2014-09-12,
The Quitter,OGP,8512.0,1.0,5588.0,1.0,2014-09-12,
Canopy,Mont.,8462.0,5.0,3042.0,1.0,2014-08-29,
Almost Human,IFC,8447.0,5.0,2722.0,2.0,2014-02-21,
Red Hollywood,CGld,8426.0,1.0,4760.0,1.0,2014-08-15,
