title,studio,gross,total theaters,opening gross,opening theaters,release,wiki views
About Last Night (2014),SGem,48637684.0,2253.0,25649011.0,2253.0,2014-02-14,
Into The Storm,WB (NL),47602194.0,3434.0,17346427.0,3434.0,2014-08-08,
The Judge,WB,47119388.0,3003.0,13116226.0,3003.0,2014-10-10,389433.0
Jersey Boys,WB,47047013.0,2905.0,13319371.0,2905.0,2014-06-20,293065.0
Blended,WB,46294610.0,3555.0,14284031.0,3555.0,2014-05-23,274539.0
The Giver,Wein.,45090374.0,3003.0,12305016.0,3003.0,2014-08-15,417389.0
St. Vincent,Wein.,44137712.0,2552.0,109878.0,4.0,2014-10-10,85498.0
Need for Speed,BV,43577636.0,3115.0,17844939.0,3115.0,2014-03-14,0.0
A Million Ways to Die in the West,Uni.,43139300.0,3160.0,16797385.0,3158.0,2014-05-30,335496.0
John Wick,LG/S,43037835.0,2589.0,14415922.0,2589.0,2014-10-24,445672.0
Birdman,FoxS,42340598.0,1213.0,424397.0,4.0,2014-10-17,295348.0
Dolphin Tale 2,WB,42024533.0,3656.0,15873397.0,3656.0,2014-09-12,122097.0
The Expendables 3,LGF,39322544.0,3221.0,15879645.0,3221.0,2014-08-15,1295127.0
Earth to Echo,Rela.,38934842.0,3230.0,8364658.0,3230.0,2014-07-02,130136.0
Sex Tape,Sony,38543473.0,3062.0,14608152.0,3062.0,2014-07-18,253769.0
Wild (2014),FoxS,37880356.0,1361.0,606810.0,21.0,2014-12-03,
Million Dollar Arm,BV,36457627.0,3019.0,10515659.0,3019.0,2014-05-16,608800.0
The Theory of Everything,Focus,35893537.0,1220.0,208763.0,5.0,2014-11-07,309720.0
This is Where I Leave You,WB,34296320.0,2868.0,11558149.0,2868.0,2014-09-19,
The Gambler,Par.,33680992.0,2494.0,9129999.0,2478.0,2014-12-25,155481.0
Paranormal Activity: The Marked Ones,Par.,32462372.0,2883.0,18343611.0,2867.0,2014-01-03,
Nightcrawler,ORF,32381217.0,2766.0,10441000.0,2766.0,2014-10-31,178844.0
Chef,ORF,31424003.0,1298.0,204961.0,6.0,2014-05-09,168570.0
Get On Up,Uni.,30703100.0,2469.0,13585915.0,2468.0,2014-08-01,
3 Days to Kill,Rela.,30697999.0,2872.0,12242218.0,2872.0,2014-02-21,0.0
Deliver Us From Evil,SGem,30577122.0,3049.0,9740471.0,3049.0,2014-07-02,
When the Game Stands Tall,TriS,30127963.0,2766.0,8381509.0,2673.0,2014-08-22,206865.0
Draft Day,LG/S,28842237.0,2781.0,9783603.0,2781.0,2014-04-11,266455.0
Oculus,Rela.,27695246.0,2648.0,12005402.0,2648.0,2014-04-11,
The Best of Me,Rela.,26766213.0,2936.0,10003827.0,2936.0,2014-10-17,272776.0
A Walk Among the Tombstones,Uni.,26307600.0,2714.0,12758780.0,2712.0,2014-09-19,293132.0
That Awkward Moment,Focus,26068955.0,2809.0,8742109.0,2809.0,2014-01-31,122211.0
Boyhood,IFC,25352281.0,775.0,387618.0,5.0,2014-07-11,379588.0
,,,,,,,
"$10,435,358,613",-,,,,,,
"$14,865,183",-,,,,,,
,,,,,,,
